"matchday","H","A","Tore_H","Tore_A","prob_home_win","prob_draw","prob_away_win"
9,"Türkiyemspor Berlin","SC Borsigwalde 1910",1,1,NA,NA,NA
9,"Berliner SV 1892","Köpenicker FC",4,0,NA,NA,NA
9,"FC Internationale Berlin 1980","FSV Berolina Stralau 1901",2,1,NA,NA,NA
9,"BSV Al-Dersimspor","BSV Eintracht Mahlsdorf II",1,0,NA,NA,NA
9,"SV Stern Britz 1889","TSV Rudow Berlin",2,9,NA,NA,NA
9,"VfB Concordia Britz 1916","FC Viktoria 1889 Berlin II",1,5,NA,NA,NA
9,"BFC Meteor 06","SV Empor Berlin II",5,2,NA,NA,NA
9,"BFC Preussen II","Berliner SC II",0,0,NA,NA,NA
9,"SC Borsigwalde 1910","Türkiyemspor Berlin",1,1,NA,NA,NA
9,"Köpenicker FC","Berliner SV 1892",0,4,NA,NA,NA
9,"FSV Berolina Stralau 1901","FC Internationale Berlin 1980",1,2,NA,NA,NA
9,"BSV Eintracht Mahlsdorf II","BSV Al-Dersimspor",0,1,NA,NA,NA
10,"FC Viktoria 1889 Berlin II","BSV Al-Dersimspor",3,2,NA,NA,NA
10,"BFC Preussen II","BFC Meteor 06",5,2,NA,NA,NA
10,"SV Stern Britz 1889","FC Internationale Berlin 1980",0,3,NA,NA,NA
10,"TSV Rudow Berlin","Berliner SV 1892",2,0,NA,NA,NA
10,"Köpenicker FC","FSV Berolina Stralau 1901",0,0,NA,NA,NA
10,"BSV Eintracht Mahlsdorf II","VfB Concordia Britz 1916",3,1,NA,NA,NA
10,"SC Borsigwalde 1910","SV Empor Berlin II",1,1,NA,NA,NA
10,"Türkiyemspor Berlin","Berliner SC II",1,1,NA,NA,NA
10,"BSV Al-Dersimspor","FC Viktoria 1889 Berlin II",2,3,NA,NA,NA
10,"BFC Meteor 06","BFC Preussen II",2,5,NA,NA,NA
10,"FC Internationale Berlin 1980","SV Stern Britz 1889",3,0,NA,NA,NA
10,"Berliner SV 1892","TSV Rudow Berlin",0,2,NA,NA,NA
10,"FSV Berolina Stralau 1901","Köpenicker FC",0,0,NA,NA,NA
10,"VfB Concordia Britz 1916","BSV Eintracht Mahlsdorf II",1,3,NA,NA,NA
10,"SV Empor Berlin II","SC Borsigwalde 1910",1,1,NA,NA,NA
10,"Berliner SC II","Türkiyemspor Berlin",1,1,NA,NA,NA
11,"FC Internationale Berlin 1980","TSV Rudow Berlin",1,1,NA,NA,NA
11,"BFC Meteor 06","BSV Eintracht Mahlsdorf II",1,0,NA,NA,NA
11,"Köpenicker FC","FC Viktoria 1889 Berlin II",3,3,NA,NA,NA
11,"SV Empor Berlin II","SV Stern Britz 1889",2,2,NA,NA,NA
11,"Berliner SC II","BSV Al-Dersimspor",2,0,NA,NA,NA
11,"Berliner SV 1892","Türkiyemspor Berlin",2,0,NA,NA,NA
11,"FSV Berolina Stralau 1901","BFC Preussen II",0,3,NA,NA,NA
11,"VfB Concordia Britz 1916","SC Borsigwalde 1910",3,4,NA,NA,NA
11,"TSV Rudow Berlin","FC Internationale Berlin 1980",1,1,NA,NA,NA
11,"BSV Eintracht Mahlsdorf II","BFC Meteor 06",0,1,NA,NA,NA
11,"FC Viktoria 1889 Berlin II","Köpenicker FC",3,3,NA,NA,NA
11,"SV Stern Britz 1889","SV Empor Berlin II",2,2,NA,NA,NA
11,"BSV Al-Dersimspor","Berliner SC II",0,2,NA,NA,NA
11,"Türkiyemspor Berlin","Berliner SV 1892",0,2,NA,NA,NA
11,"BFC Preussen II","FSV Berolina Stralau 1901",3,0,NA,NA,NA
11,"SC Borsigwalde 1910","VfB Concordia Britz 1916",4,3,NA,NA,NA
12,"BFC Meteor 06","Köpenicker FC",3,0,NA,NA,NA
12,"SV Empor Berlin II","BSV Eintracht Mahlsdorf II",1,8,NA,NA,NA
12,"FC Viktoria 1889 Berlin II","FSV Berolina Stralau 1901",3,6,NA,NA,NA
12,"Berliner SC II","TSV Rudow Berlin",1,2,NA,NA,NA
12,"Berliner SV 1892","SV Stern Britz 1889",1,0,NA,NA,NA
12,"FC Internationale Berlin 1980","SC Borsigwalde 1910",1,1,NA,NA,NA
12,"VfB Concordia Britz 1916","BFC Preussen II",1,2,NA,NA,NA
12,"BSV Al-Dersimspor","Türkiyemspor Berlin",0,2,NA,NA,NA
12,"Köpenicker FC","BFC Meteor 06",0,3,NA,NA,NA
12,"BSV Eintracht Mahlsdorf II","SV Empor Berlin II",8,1,NA,NA,NA
12,"FSV Berolina Stralau 1901","FC Viktoria 1889 Berlin II",6,3,NA,NA,NA
12,"TSV Rudow Berlin","Berliner SC II",2,1,NA,NA,NA
12,"SV Stern Britz 1889","Berliner SV 1892",0,1,NA,NA,NA
12,"SC Borsigwalde 1910","FC Internationale Berlin 1980",1,1,NA,NA,NA
12,"BFC Preussen II","VfB Concordia Britz 1916",2,1,NA,NA,NA
12,"Türkiyemspor Berlin","BSV Al-Dersimspor",2,0,NA,NA,NA
13,"BSV Eintracht Mahlsdorf II","FC Internationale Berlin 1980",2,1,NA,NA,NA
13,"BFC Preussen II","SV Empor Berlin II",3,2,NA,NA,NA
13,"SV Stern Britz 1889","Berliner SC II",0,3,NA,NA,NA
13,"Köpenicker FC","VfB Concordia Britz 1916",10,1,NA,NA,NA
13,"Türkiyemspor Berlin","FC Viktoria 1889 Berlin II",2,1,NA,NA,NA
13,"FSV Berolina Stralau 1901","BFC Meteor 06",2,4,NA,NA,NA
13,"SC Borsigwalde 1910","Berliner SV 1892",1,3,NA,NA,NA
13,"TSV Rudow Berlin","BSV Al-Dersimspor",2,0,NA,NA,NA
13,"FC Internationale Berlin 1980","BSV Eintracht Mahlsdorf II",1,2,NA,NA,NA
13,"SV Empor Berlin II","BFC Preussen II",2,3,NA,NA,NA
13,"Berliner SC II","SV Stern Britz 1889",3,0,NA,NA,NA
13,"VfB Concordia Britz 1916","Köpenicker FC",1,10,NA,NA,NA
13,"FC Viktoria 1889 Berlin II","Türkiyemspor Berlin",1,2,NA,NA,NA
13,"BFC Meteor 06","FSV Berolina Stralau 1901",4,2,NA,NA,NA
13,"Berliner SV 1892","SC Borsigwalde 1910",3,1,NA,NA,NA
13,"BSV Al-Dersimspor","TSV Rudow Berlin",0,2,NA,NA,NA
14,"BSV Eintracht Mahlsdorf II","TSV Rudow Berlin",0,0,NA,NA,NA
14,"SV Stern Britz 1889","SC Borsigwalde 1910",1,2,NA,NA,NA
14,"FC Viktoria 1889 Berlin II","SV Empor Berlin II",1,1,NA,NA,NA
14,"Berliner SC II","FSV Berolina Stralau 1901",1,0,NA,NA,NA
14,"Berliner SV 1892","BFC Meteor 06",1,2,NA,NA,NA
14,"FC Internationale Berlin 1980","VfB Concordia Britz 1916",7,1,NA,NA,NA
14,"Türkiyemspor Berlin","BFC Preussen II",2,6,NA,NA,NA
14,"BSV Al-Dersimspor","Köpenicker FC",1,5,NA,NA,NA
14,"TSV Rudow Berlin","BSV Eintracht Mahlsdorf II",0,0,NA,NA,NA
14,"SC Borsigwalde 1910","SV Stern Britz 1889",2,1,NA,NA,NA
14,"SV Empor Berlin II","FC Viktoria 1889 Berlin II",1,1,NA,NA,NA
14,"FSV Berolina Stralau 1901","Berliner SC II",0,1,NA,NA,NA
14,"BFC Meteor 06","Berliner SV 1892",2,1,NA,NA,NA
14,"VfB Concordia Britz 1916","FC Internationale Berlin 1980",1,7,NA,NA,NA
14,"BFC Preussen II","Türkiyemspor Berlin",6,2,NA,NA,NA
14,"Köpenicker FC","BSV Al-Dersimspor",5,1,NA,NA,NA
15,"SC Borsigwalde 1910","TSV Rudow Berlin",0,0,NA,NA,NA
15,"BFC Preussen II","BSV Al-Dersimspor",1,1,NA,NA,NA
15,"SV Stern Britz 1889","FC Viktoria 1889 Berlin II",2,3,NA,NA,NA
15,"BFC Meteor 06","FC Internationale Berlin 1980",3,1,NA,NA,NA
15,"Köpenicker FC","Berliner SC II",2,0,NA,NA,NA
15,"BSV Eintracht Mahlsdorf II","Türkiyemspor Berlin",1,2,NA,NA,NA
15,"FSV Berolina Stralau 1901","Berliner SV 1892",3,3,NA,NA,NA
15,"VfB Concordia Britz 1916","SV Empor Berlin II",1,0,NA,NA,NA
15,"TSV Rudow Berlin","SC Borsigwalde 1910",0,0,NA,NA,NA
15,"BSV Al-Dersimspor","BFC Preussen II",1,1,NA,NA,NA
