Rank,Team,Name,Nr,Pos,Spiele,Tore
234,VfB Concordia Britz 1916,Daniel Michael Brüning,22,IV,3,0
235,VfB Concordia Britz 1916,Fabian Kolditz,13,NA,1,0
236,VfB Concordia Britz 1916,Patrick Wenke,29,IV,6,0
237,SV Stern Britz 1889,Christopher Schneider,NA,RM,1,0
238,BSV Al-Dersimspor,Caglar Halici,NA,ST,1,0
239,BSV Al-Dersimspor,Hüseyin Ali Kaloglu,NA,IV,1,0
240,BSV Al-Dersimspor,Önder Senkaya,NA,NA,1,0
241,VfB Concordia Britz 1916,Tim Wenke,5,IV,8,0
242,Berliner SC II,Max Vincent Bolz,20,ZM,8,0
243,BFC Meteor 06,Yusuf Abouri,NA,RV,4,0
244,SV Stern Britz 1889,Fabio Zielske,NA,NA,0,0
245,SV Stern Britz 1889,Marcel Lieker,NA,NA,1,0
246,VfB Concordia Britz 1916,Robin Eschert,14,LV,4,0
247,BFC Preussen II,Dan Feldmann,NA,NA,2,0
248,Berliner SV 1892,Benjamin Schnack,NA,IV,2,0
249,Köpenicker FC,Kevin Wesolek,16,NA,2,0
250,SV Stern Britz 1889,Yusuf Yildirim,NA,ZDM,1,0
251,Köpenicker FC,Tom Nischwitz,5,IV,13,0
252,SC Borsigwalde 1910,Jeffrey Kräft,37,TW,11,0
253,SV Stern Britz 1889,Bartosz Palubski,21,NA,0,0
254,Köpenicker FC,Philip Möhle,28,RV,9,0
255,BSV Al-Dersimspor,Aziz Ökten,NA,NA,0,0
256,BSV Al-Dersimspor,Sercan-Günay Seyyidoglu,17,LM,9,0
257,BSV Al-Dersimspor,Welton Pereira Dos Santos,94,NA,10,0
258,Berliner SV 1892,Karl Anker,8,IV,12,0
259,BFC Meteor 06,Bahadir Katirci,7,NA,3,0
260,Berliner SC II,Noah Peter,12,ZM,9,0
261,Berliner SC II,Alexander Huse,13,ST,11,0
262,SC Borsigwalde 1910,Antonio Ciao,22,ZDM,3,0
263,VfB Concordia Britz 1916,Yannic Behrendt,NA,IV,4,0
