Spieltag,Team,Gegner,Tore,Gegentore,Wo,Platz,Kader,Formation,Wechsel
4,Türkiyemspor Berlin,FSV Berolina Stralau 1901,5,0,home,NR,"Aktas – Diallo (87. Faramarzi), Yilmas (55. Karakus), Lange (72. Demir), Emre (83. Özen) – Simunovic, Tanis – Uzun, Saberdest, Jallah – Ertürkler (63. Codura)",4-2-3-1,5
4,BFC Meteor 06,BSV Al-Dersimspor,2,0,away,S,"Suilmann – Schröder, Riese, Nerlich, Karasu – Zahlan (70. Okoronkwo), Jantzen (63. Taflaj) – Jüterbock, Heimur ((85. Adigüzel), Ugur (70. Ella) – Böhm (78. Hammis)",4-2-3-1,5
4,BFC Preussen II,SV Stern Britz 1889,6,0,away,L,"Hartmann – Berner, Mucuk, Stahlberg – Demir (71. Engin), Hesse (45. Schatz) – Moreira Godinho, Fikic, Nnaemeka-Chukwurah – Eymann (72. Gajda), Timur (60. Abou-Chaker)",3-2-3-2,4
4,Köpenicker FC,TSV Rudow Berlin,0,1,away,L,"Thiemann – Möhle (75. Ondo Mangue), Hamann, Carius, Laske – Hartmann (90. Munsky), Neumann (85. Nyassi), Borchmeier, Weigelt – Bohnsack, Ilinseer (63. Tauschwitz)",4-4-2,4
4,FC Internationale Berlin 1980,FC Viktoria 1889 Berlin II,2,1,away,S,"Del Fierro – Marigo, Costa Echeverra, Castro Barbera, Bullock (60. Bratschke) – Stanley, Avendano Leon (82. Schindler), Freitag, Kranz – Klingl, Bauder (86. Guzman)",4-4-2,3
4,VfB Concordia Britz 1916,Berliner SC II,1,1,away,NR,"Meißner – Köse, Wenke (46. Behrendt), Auctun, Schmidtmann – Weglöhner, Jerry Gase (73. Gassen), Jordy Gase, Lozynskyy, Wieser – Kühn (83. Bruns)",4-5-1,3
4,SV Empor Berlin II,Berliner SV 1892,1,3,away,NR,"Yusuff – Bräkow (82. Savenko), Thürigen, Wessel (63. Mendy), Nixdorf (82. Strelets) – Cerny (74. Braun), Lippe, Ettah (63. Wollmann) – Drannaschk, Stolp, Bochnia",4-3-3,5
4,BSV Eintracht Mahlsdorf II,SC Borsigwalde 1910,3,3,away,S,"Streiter – Pötig, Mansour, Isberner, Reinke – Engfer, Preiß (76. Bothe), Grützner (46. Szczech), Halilcevic – Michas (72. Macave), Völckert (46. Maroske)",4-4-2,4
4,FSV Berolina Stralau 1901,Türkiyemspor Berlin,0,5,away,NR,"Friese – Bode (46. Son), Nikolajewski, Schönfelder (77. Leke) – Saiti (46. Guillen), Maiß, Häberle, Reuter, Rolke (77. Fischer) – Jradi (46. Heßler), Stier",3-5-2,5
5,Köpenicker FC,SV Stern Britz 1889,5,0,home,NR,"Thiemann – Dietrich, Weigelt, Carius, Ondo Mangue (61. Munsky) – Borchmeier, Hartmann (61. Tauschwitz) – Laske (58. Brandt), Neumann (66. Foth) – Ilinseer (69. Nischwitz), Bohnsack",4-2-2-2,5
5,BFC Preussen II,SC Borsigwalde 1910,3,5,home,S,"Hartmann – Berner (51. Gajda), Stahlberg, Mucuk, Eymann (77. Özcan) – Kagoue (46. Schatz), Hesse (57. Demir), Fikic, Kohlmann, Godinho – Timur",4-5-1,4
5,BFC Meteor 06,Türkiyemspor Berlin,2,1,home,M,"Suilmann – Schröder, Riese, Nerlich, Karasu – Zahlan (75. Adigüzel), Jantzen (64. Ella) – Heimur (80. Okoronkwo), Ugur, Jüterbock (64. Hamiss) – Böhm (64. Abouri)",4-2-3-1,5
5,SV Empor Berlin II,Berliner SC II,1,1,home,S,"Yusuff – Bräkow, Wollmann (46. Stolp), Thürigen, Strelets (60. Ortmann) – Duczmal, Seiler, Cerny – Mentrup (58. Drannaschk), Mendy, Braun (46. Ettah)",4-3-3,4
5,BSV Eintracht Mahlsdorf II,FC Viktoria 1889 Berlin II,4,0,home,M,"Streiter – Greif (75. Reinke), Mansour (63. Bothe), Isberner, Stöver (72. Macave) – Preiß, Grützner (43. Reichenberger)– Meißner (56. Szczech), Halilcevic – Michas, Maroske",4-2-2-2,5
5,VfB Concordia Britz 1916,BSV Al-Dersimspor,2,4,home,L,"Meißner – Schmidtmann (45. Köse), Behrendt, Auctun, Wenke – Weglöhner (61. Bruns), Jerry J. Gase (45. Gassen), Jordy Gase (78. Schulz), Lozynskyy, Wieser (61. Da-Costa) – Kühn",4-5-1,5
5,FC Internationale Berlin 1980,Berliner SV 1892,0,2,home,L,"Del Fierro – Marigo (76. Chahed), Castro Barbera (76. Schindler), Costa Echeverra, Kranz – Freitag, Avendano Leon – Bratschke, Stanley (68. Bullock), French (58. Daus) – Bauder (58. Schneider)",4-2-3-1,5
5,FSV Berolina Stralau 1901,TSV Rudow Berlin,0,4,home,S,"Potthoff – Adler (46. Diallo), Nikolajewski, Schönfelder – Fischer (81. Saiti), Maiß, Häberle, Reuter (46. Heßler), Jonach – Tsuchiya (68. Lefke), Stier (68. Jradi)",3-5-2,5
5,SV Stern Britz 1889,Köpenicker FC,0,5,away,NR,"Ziebarth – Boanu (46. Senay), B. Leci, Borowski, Höhna – Pyplatz (61. Duman), Hauf – Sik, Wojan, Shawrdi – L. Leci",4-2-3-1,2
5,SC Borsigwalde 1910,BFC Preussen II,5,3,away,S,"Kräft – Braga De Souza, El-Okkla, Kummer, Yaqoobi (68. Bencheikh) – Ciao (86. Matuk), Stefaniszin – Crone (68. Akkaoui), Yildirim, Bubner – Santanna Mranda Silva (87. Bartoschek)",4-2-3-1,4
5,Türkiyemspor Berlin,BFC Meteor 06,1,2,away,M,"Aktas – Diallo, Demir, Yilmas, Emre (90.+4 Karakus) – Simunovic (85. Thalhofer), Tanis – Uzun, Saberdes, Jalloh – Ertürkler (66. Koca)",4-2-3-1,3
5,Berliner SC II,SV Empor Berlin II,1,1,away,S,"Kreuschner – Wolski, Ibrom, Leitner, Kaggelidids – Huse (46. Kücükosman), Niedenhoff, Peter, Antoniofrancisco (56. Akbulut) – Bolz, Barth (86. Oevermann)",4-4-2,3
