Rank,Team,Name,Nr,Pos,Spiele,Scorerpoints
266,Berliner SV 1892,Benjamin Schnack,NA,IV,8,0
267,Köpenicker FC,Tom Nischwitz,5,IV,15,0
268,SC Borsigwalde 1910,Jeffrey Kräft,37,TW,11,0
269,BSV Al-Dersimspor,Sercan-Günay Seyyidoglu,17,LM,9,0
270,Berliner SV 1892,Karl Anker,8,IV,19,0
271,BFC Meteor 06,Bahadir Katirci,7,NA,6,0
272,VfB Concordia Britz 1916,Yannic Behrendt,NA,IV,6,0
273,BSV Al-Dersimspor,Mustafa Arslan,1,TW,6,0
274,Berliner SC II,Jakob Heilmann,2,LV,15,0
275,SV Stern Britz 1889,Okan Özkaya,3,NA,5,0
276,SV Empor Berlin II,Maurice Meyer,1,TW,10,0
277,Berliner SV 1892,Maximilian Blust,NA,ST,6,0
278,Berliner SV 1892,Steven Koschek,NA,ZM,12,0
279,Türkiyemspor Berlin,Paulo Eduardo Bernardes De Almeida,22,NA,5,0
280,VfB Concordia Britz 1916,Julian Markgraf,NA,LV,7,0
281,TSV Rudow Berlin,Jan-Eric Frank,6,IV,9,0
282,Türkiyemspor Berlin,Amon Simunovic,6,ZDM,19,0
283,BFC Preussen II,Dominik Dietzel,1,TW,9,0
284,SV Stern Britz 1889,Timo Ziebarth,1,TW,14,0
285,FC Internationale Berlin 1980,Enrique Freitag,8,ZDM,17,0
286,BSV Al-Dersimspor,Etem Tonk,24,IV,20,0
287,Türkiyemspor Berlin,Dennis Fischer,2,LM,5,0
288,Berliner SV 1892,Dennis Fischer,2,LM,5,0
289,SV Empor Berlin II,Tom Wessel,24,IV,5,0
290,TSV Rudow Berlin,Linus Fürstenow,4,IV,21,0
291,FSV Berolina Stralau 1901,Philipp Nikolajewski,14,IV,15,0
292,SV Stern Britz 1889,Nico Hauf,13,IV,16,0
293,FSV Berolina Stralau 1901,Ian Häberle,22,IV,19,0
294,Türkiyemspor Berlin,Ali Mert Koca,15,ZOM,6,0
295,Türkiyemspor Berlin,Ertugrul Aktas,13,TW,17,0
296,SV Empor Berlin II,Philipp Macketanz,15,LV,12,0
297,FSV Berolina Stralau 1901,Akiyasu Tsuchiya,6,ZM,9,0
298,Köpenicker FC,Adrian Thiemann,1,TW,18,0
299,BSV Al-Dersimspor,Can Yildiz,NA,NA,5,0
300,BSV Al-Dersimspor,Achmed El-Noumeiri,NA,NA,5,0
301,VfB Concordia Britz 1916,Leon Ketel,1,TW,12,0
302,FSV Berolina Stralau 1901,Pablo Guillen,8,ST,12,0
303,BSV Al-Dersimspor,Onur Kalkan,63,IV,15,0
304,SV Empor Berlin II,Pascal Bräkow,2,RV,22,0
305,FC Internationale Berlin 1980,Amin Malik Chahed,77,NA,8,0
306,Berliner SV 1892,Jonathan Maurer,NA,ZM,8,0
307,Türkiyemspor Berlin,Muzaffer Kirimoglu,9,ST,9,0
308,SV Empor Berlin II,Tilman Schinzel,14,IV,17,0
309,FC Viktoria 1889 Berlin II,Simon Stefanovic,7,LV,19,0
310,Köpenicker FC,Rayk Stahnke,26,NA,6,0
311,VfB Concordia Britz 1916,Deniz Gassen,10,ZM,8,0
312,Berliner SV 1892,Soner Gültepe,26,NA,6,0
313,Türkiyemspor Berlin,Oguzhan Codura,10,ST,5,0
314,SC Borsigwalde 1910,Firat Yildirim,15,ZDM,13,0
315,Türkiyemspor Berlin,Florian Nikolai Thalhofer,17,RV,14,0
316,VfB Concordia Britz 1916,Malte Meißner,33,TW,9,0
317,SC Borsigwalde 1910,Khaled El-Okkla,27,IV,17,0
318,SV Stern Britz 1889,Tommes Diallo,2,RV,7,0
319,SC Borsigwalde 1910,David Chukwu,NA,LV,10,0
320,FSV Berolina Stralau 1901,Leeroy-Life Leffke,13,NA,9,0
321,VfB Concordia Britz 1916,Benedikt Schmidtmann,23,RV,20,0
322,FC Viktoria 1889 Berlin II,Marvin Knape,20,RV,6,0
323,Köpenicker FC,Luca Carius,6,IV,21,0
324,BFC Preussen II,Meiko Hesse,6,ZDM,18,0
325,Köpenicker FC,Tom Rostock,NA,RM,6,0
326,FC Viktoria 1889 Berlin II,Lukas-Noah Littler,2,IV,11,0
327,Berliner SC II,Bryan Lilja,18,LM,5,0
328,Türkiyemspor Berlin,Kenan Özen,6,ZDM,14,0
329,FSV Berolina Stralau 1901,Milan Stricker,NA,ST,8,0
330,Köpenicker FC,Anton Neumann,14,ZM,12,0
331,BSV Al-Dersimspor,Zana-Kazim Baba,NA,ST,7,0
332,Türkiyemspor Berlin,Tolgahan Can Eskin,21,LM,5,0
333,TSV Rudow Berlin,Jonas Becker,3,IV,19,0
334,Türkiyemspor Berlin,Tamer Emre Ertürkler,17,ST,8,0
335,Berliner SC II,Jesse Kreuschner,31,TW,9,0
336,Berliner SV 1892,Chidera Iwuozor,6,LM,7,0
337,FSV Berolina Stralau 1901,David Bode,18,IV,10,0
338,FSV Berolina Stralau 1901,Arian Saiti,17,RV,15,0
339,BFC Meteor 06,Rick Mickael Ella,70,LM,8,0
340,TSV Rudow Berlin,Eliot Tolaj,15,IV,16,0
341,FC Internationale Berlin 1980,Marcos Adrian Castro Barbera,12,NA,15,0
342,BFC Meteor 06,Leo Suilmann,1,TW,7,0
343,FC Internationale Berlin 1980,Jim Bratschke,77,RM,6,0
344,SV Empor Berlin II,Niclas Nixdorf,3,IV,16,0
345,Berliner SC II,Paul Schlicht,1,TW,12,0
346,SV Stern Britz 1889,Benis Leci,30,LM,17,0
347,Türkiyemspor Berlin,Mustafa Kenan Yigitoglu,NA,IV,8,0
348,FSV Berolina Stralau 1901,Andreas Friese,23,TW,15,0
349,Türkiyemspor Berlin,Koray Aktas,21,TW,8,0
350,BSV Al-Dersimspor,Kaan Ucbaglar,44,LM,9,0
351,SC Borsigwalde 1910,Ahmad Chehade,NA,LV,5,0
352,FC Internationale Berlin 1980,Giovanni Marigo,2,RV,22,0
353,VfB Concordia Britz 1916,Merdan Köse,4,IV,16,0
354,SC Borsigwalde 1910,Philip Bartoschek,17,ZOM,11,0
355,SV Empor Berlin II,Aaron Yusuff,NA,TW,11,0
356,FSV Berolina Stralau 1901,Yussef Jradi,11,LV,19,0
357,BFC Preussen II,Maximilian Schatz,24,ZM,6,0
358,FC Viktoria 1889 Berlin II,Patrick Kühn,1,TW,19,0
359,SV Empor Berlin II,Alvenzio Ettah,19,ZM,18,0
360,SC Borsigwalde 1910,Kai Neumann,21,ZM,5,0
361,SC Borsigwalde 1910,Eren Motuk,5,IV,17,0
362,SV Empor Berlin II,Emile Ako,NA,RM,7,0
363,BSV Al-Dersimspor,Merdie Tshondo,20,RV,5,0
364,SV Empor Berlin II,Oskar Kühn,23,TW,7,0
365,Berliner SV 1892,Linus Hechtfisch,23,TW,6,0
366,BSV Eintracht Mahlsdorf II,Maximilian Widmer,NA,LM,11,0
367,BFC Preussen II,Christian Müller,25,ZDM,10,0
368,Köpenicker FC,Noah Maximilian Laske,19,RV,13,0
369,Köpenicker FC,Oskar Klauke,20,LV,11,0
370,SV Stern Britz 1889,Jonas Lück,18,TW,8,0
371,Köpenicker FC,Marques Brunow,NA,NA,6,0
372,Berliner SC II,Simon Riedel,14,RV,18,0
373,Berliner SV 1892,Ali Ismail Gashi,12,RM,5,0
374,SC Borsigwalde 1910,Joao Victor Braga De Souza,2,IV,15,0
375,SC Borsigwalde 1910,Oskar Denis Cuesta,11,NA,6,0
376,FC Internationale Berlin 1980,Cristobal Del Fierro,1,NA,19,0
377,FC Viktoria 1889 Berlin II,Ognyan Stefanov,16,NA,7,0
378,SV Empor Berlin II,Rafael Mentrup,21,LM,19,0
379,SV Empor Berlin II,Laszlo Braun,22,ST,12,0
380,FC Internationale Berlin 1980,Maximilian Louis Alexis Caspar de Rosnay,NA,NA,5,0
381,SC Borsigwalde 1910,Adam Barnat,6,LM,8,0
382,VfB Concordia Britz 1916,Philip Wieser,17,ZM,18,0
383,VfB Concordia Britz 1916,Omar Mohamed Ibrahim Hassan Ali,NA,ST,7,0
384,FC Internationale Berlin 1980,Jamie Dell Bullock,3,LV,14,0
385,SV Empor Berlin II,Keita Udo,12,ZM,8,0
386,TSV Rudow Berlin,Süleyman Aktas,29,TW,8,0
387,SV Empor Berlin II,Laurens Cerny,20,ZM,17,0
388,Berliner SC II,Konstantin Joseski,NA,RV,5,0
389,SV Stern Britz 1889,John Coker,NA,ST,7,0
390,TSV Rudow Berlin,Aron Murseli,NA,LM,6,0
