"matchday","H","A","Tore_H","Tore_A","prob_home_win","prob_draw","prob_away_win"
26,"VfB Concordia Britz 1916","BSV Eintracht Mahlsdorf II",NA,NA,0.2,0.258,0.542
26,"SV Empor Berlin II","SC Borsigwalde 1910",NA,NA,0.233,0.279,0.488
26,"Berliner SC II","Türkiyemspor Berlin",NA,NA,0.356,0.336,0.308
27,"Köpenicker FC","BFC Meteor 06",NA,NA,0.22,0.27,0.51
27,"BSV Eintracht Mahlsdorf II","SV Empor Berlin II",NA,NA,0.615,0.23,0.155
27,"FSV Berolina Stralau 1901","FC Viktoria 1889 Berlin II",NA,NA,0.24,0.284,0.476
27,"TSV Rudow Berlin","Berliner SC II",NA,NA,0.728,0.19,0.082
27,"SV Stern Britz 1889","Berliner SV 1892",NA,NA,0.115,0.208,0.676
27,"SC Borsigwalde 1910","FC Internationale Berlin 1980",NA,NA,0.434,0.301,0.264
27,"BFC Preussen II","VfB Concordia Britz 1916",NA,NA,0.76,0.18,0.061
27,"Türkiyemspor Berlin","BSV Al-Dersimspor",NA,NA,0.394,0.318,0.287
28,"FC Internationale Berlin 1980","BSV Eintracht Mahlsdorf II",NA,NA,0.302,0.33,0.368
28,"SV Empor Berlin II","BFC Preussen II",NA,NA,0.15,0.227,0.623
28,"Berliner SC II","SV Stern Britz 1889",NA,NA,0.615,0.23,0.155
28,"VfB Concordia Britz 1916","Köpenicker FC",NA,NA,0.213,0.266,0.521
28,"FC Viktoria 1889 Berlin II","Türkiyemspor Berlin",NA,NA,0.566,0.249,0.185
28,"BFC Meteor 06","FSV Berolina Stralau 1901",NA,NA,0.701,0.2,0.1
28,"Berliner SV 1892","SC Borsigwalde 1910",NA,NA,0.527,0.264,0.209
28,"BSV Al-Dersimspor","TSV Rudow Berlin",NA,NA,0.15,0.227,0.623
29,"BFC Preussen II","FC Internationale Berlin 1980",NA,NA,0.615,0.23,0.155
29,"BFC Meteor 06","FC Viktoria 1889 Berlin II",NA,NA,0.514,0.269,0.217
29,"SC Borsigwalde 1910","Berliner SC II",NA,NA,0.474,0.285,0.241
29,"TSV Rudow Berlin","Türkiyemspor Berlin",NA,NA,0.719,0.193,0.088
29,"BSV Eintracht Mahlsdorf II","Berliner SV 1892",NA,NA,0.281,0.314,0.405
29,"FSV Berolina Stralau 1901","VfB Concordia Britz 1916",NA,NA,0.527,0.264,0.209
29,"SV Stern Britz 1889","BSV Al-Dersimspor",NA,NA,0.226,0.275,0.499
29,"Köpenicker FC","SV Empor Berlin II",NA,NA,0.591,0.239,0.17
30,"TSV Rudow Berlin","SC Borsigwalde 1910",NA,NA,0.649,0.218,0.133
30,"BSV Al-Dersimspor","BFC Preussen II",NA,NA,0.194,0.254,0.552
30,"FC Viktoria 1889 Berlin II","SV Stern Britz 1889",NA,NA,0.767,0.177,0.056
30,"FC Internationale Berlin 1980","BFC Meteor 06",NA,NA,0.188,0.25,0.562
30,"Berliner SC II","Köpenicker FC",NA,NA,0.295,0.325,0.38
30,"Türkiyemspor Berlin","BSV Eintracht Mahlsdorf II",NA,NA,0.288,0.319,0.393
30,"Berliner SV 1892","FSV Berolina Stralau 1901",NA,NA,0.627,0.226,0.147
30,"SV Empor Berlin II","VfB Concordia Britz 1916",NA,NA,0.408,0.313,0.28
