matchday,H,A,Tore_H,Tore_A,where
14,Köpenicker FC,BSV Al-Dersimspor,5,1,away
15,SC Borsigwalde 1910,TSV Rudow Berlin,0,0,home
15,BFC Preussen II,BSV Al-Dersimspor,1,1,home
15,SV Stern Britz 1889,FC Viktoria 1889 Berlin II,2,3,home
15,BFC Meteor 06,FC Internationale Berlin 1980,3,1,home
15,Köpenicker FC,Berliner SC II,2,0,home
15,BSV Eintracht Mahlsdorf II,Türkiyemspor Berlin,1,2,home
15,FSV Berolina Stralau 1901,Berliner SV 1892,3,3,home
15,VfB Concordia Britz 1916,SV Empor Berlin II,1,0,home
15,TSV Rudow Berlin,SC Borsigwalde 1910,0,0,away
15,BSV Al-Dersimspor,BFC Preussen II,1,1,away
15,FC Viktoria 1889 Berlin II,SV Stern Britz 1889,3,2,away
15,FC Internationale Berlin 1980,BFC Meteor 06,1,3,away
15,Berliner SC II,Köpenicker FC,0,2,away
15,Türkiyemspor Berlin,BSV Eintracht Mahlsdorf II,2,1,away
15,Berliner SV 1892,FSV Berolina Stralau 1901,3,3,away
15,SV Empor Berlin II,VfB Concordia Britz 1916,0,1,away
16,SV Stern Britz 1889,TSV Rudow Berlin,1,3,home
16,VfB Concordia Britz 1916,FC Viktoria 1889 Berlin II,2,3,home
16,BFC Meteor 06,SV Empor Berlin II,4,2,home
16,BFC Preussen II,Berliner SC II,3,2,home
16,SC Borsigwalde 1910,Türkiyemspor Berlin,0,1,home
16,Köpenicker FC,Berliner SV 1892,0,3,home
16,FSV Berolina Stralau 1901,FC Internationale Berlin 1980,3,1,home
16,BSV Eintracht Mahlsdorf II,BSV Al-Dersimspor,2,0,home
16,TSV Rudow Berlin,SV Stern Britz 1889,3,1,away
16,FC Viktoria 1889 Berlin II,VfB Concordia Britz 1916,3,2,away
16,SV Empor Berlin II,BFC Meteor 06,2,4,away
16,Berliner SC II,BFC Preussen II,2,3,away
16,Türkiyemspor Berlin,SC Borsigwalde 1910,1,0,away
16,Berliner SV 1892,Köpenicker FC,3,0,away
16,FC Internationale Berlin 1980,FSV Berolina Stralau 1901,1,3,away
16,BSV Al-Dersimspor,BSV Eintracht Mahlsdorf II,0,2,away
17,TSV Rudow Berlin,BSV Eintracht Mahlsdorf II,2,0,home
17,SC Borsigwalde 1910,SV Stern Britz 1889,7,1,home
17,SV Empor Berlin II,FC Viktoria 1889 Berlin II,4,3,home
17,FSV Berolina Stralau 1901,Berliner SC II,3,1,home
17,BFC Meteor 06,Berliner SV 1892,3,1,home
17,VfB Concordia Britz 1916,FC Internationale Berlin 1980,2,0,home
17,BFC Preussen II,Türkiyemspor Berlin,5,4,home
17,Köpenicker FC,BSV Al-Dersimspor,5,1,home
17,BSV Eintracht Mahlsdorf II,TSV Rudow Berlin,0,2,away
17,SV Stern Britz 1889,SC Borsigwalde 1910,1,7,away
17,FC Viktoria 1889 Berlin II,SV Empor Berlin II,3,4,away
17,Berliner SC II,FSV Berolina Stralau 1901,1,3,away
17,Berliner SV 1892,BFC Meteor 06,1,3,away
17,FC Internationale Berlin 1980,VfB Concordia Britz 1916,0,2,away
17,Türkiyemspor Berlin,BFC Preussen II,4,5,away
17,BSV Al-Dersimspor,Köpenicker FC,1,5,away
18,TSV Rudow Berlin,BFC Preussen II,1,0,home
18,FC Internationale Berlin 1980,SV Empor Berlin II,6,2,home
18,Berliner SC II,BFC Meteor 06,0,4,home
18,Türkiyemspor Berlin,Köpenicker FC,0,1,home
18,SV Stern Britz 1889,BSV Eintracht Mahlsdorf II,1,2,home
18,FC Viktoria 1889 Berlin II,SC Borsigwalde 1910,7,1,home
18,Berliner SV 1892,VfB Concordia Britz 1916,2,0,home
18,BSV Al-Dersimspor,FSV Berolina Stralau 1901,2,2,home
18,BFC Preussen II,TSV Rudow Berlin,0,1,away
18,SV Empor Berlin II,FC Internationale Berlin 1980,2,6,away
18,BFC Meteor 06,Berliner SC II,4,0,away
18,Köpenicker FC,Türkiyemspor Berlin,1,0,away
18,BSV Eintracht Mahlsdorf II,SV Stern Britz 1889,2,1,away
18,SC Borsigwalde 1910,FC Viktoria 1889 Berlin II,1,7,away
18,VfB Concordia Britz 1916,Berliner SV 1892,0,2,away
18,FSV Berolina Stralau 1901,BSV Al-Dersimspor,2,2,away
19,BFC Meteor 06,BSV Al-Dersimspor,9,1,home
19,BFC Preussen II,SV Stern Britz 1889,2,1,home
19,Köpenicker FC,TSV Rudow Berlin,2,3,home
19,FC Internationale Berlin 1980,FC Viktoria 1889 Berlin II,0,2,home
19,VfB Concordia Britz 1916,Berliner SC II,2,3,home
19,SV Empor Berlin II,Berliner SV 1892,1,3,home
19,BSV Eintracht Mahlsdorf II,SC Borsigwalde 1910,3,3,home
19,FSV Berolina Stralau 1901,Türkiyemspor Berlin,3,2,home
19,BSV Al-Dersimspor,BFC Meteor 06,1,9,away
19,SV Stern Britz 1889,BFC Preussen II,1,2,away
19,TSV Rudow Berlin,Köpenicker FC,3,2,away
19,FC Viktoria 1889 Berlin II,FC Internationale Berlin 1980,2,0,away
19,Berliner SC II,VfB Concordia Britz 1916,3,2,away
19,Berliner SV 1892,SV Empor Berlin II,3,1,away
19,SC Borsigwalde 1910,BSV Eintracht Mahlsdorf II,3,3,away
19,Türkiyemspor Berlin,FSV Berolina Stralau 1901,2,3,away
20,BFC Meteor 06,TSV Rudow Berlin,2,2,home
20,FSV Berolina Stralau 1901,SV Stern Britz 1889,2,1,home
20,Berliner SV 1892,FC Viktoria 1889 Berlin II,1,3,home
20,BFC Preussen II,BSV Eintracht Mahlsdorf II,3,1,home
20,FC Internationale Berlin 1980,Berliner SC II,3,1,home
20,Köpenicker FC,SC Borsigwalde 1910,1,2,home
20,VfB Concordia Britz 1916,Türkiyemspor Berlin,2,0,home
20,SV Empor Berlin II,BSV Al-Dersimspor,2,3,home
20,TSV Rudow Berlin,BFC Meteor 06,2,2,away
20,SV Stern Britz 1889,FSV Berolina Stralau 1901,1,2,away
20,FC Viktoria 1889 Berlin II,Berliner SV 1892,3,1,away
20,BSV Eintracht Mahlsdorf II,BFC Preussen II,1,3,away
20,Berliner SC II,FC Internationale Berlin 1980,1,3,away
20,SC Borsigwalde 1910,Köpenicker FC,2,1,away
20,Türkiyemspor Berlin,VfB Concordia Britz 1916,0,2,away
20,BSV Al-Dersimspor,SV Empor Berlin II,3,2,away
21,BSV Al-Dersimspor,FC Internationale Berlin 1980,3,2,home
21,FC Viktoria 1889 Berlin II,BFC Preussen II,1,3,home
21,SV Stern Britz 1889,BFC Meteor 06,2,5,home
21,BSV Eintracht Mahlsdorf II,Köpenicker FC,2,6,home
21,Türkiyemspor Berlin,SV Empor Berlin II,2,1,home
21,Berliner SC II,Berliner SV 1892,1,3,home
21,TSV Rudow Berlin,VfB Concordia Britz 1916,2,0,home
21,SC Borsigwalde 1910,FSV Berolina Stralau 1901,6,3,home
21,FC Internationale Berlin 1980,BSV Al-Dersimspor,2,3,away
21,BFC Preussen II,FC Viktoria 1889 Berlin II,3,1,away
21,BFC Meteor 06,SV Stern Britz 1889,5,2,away
21,Köpenicker FC,BSV Eintracht Mahlsdorf II,6,2,away
21,SV Empor Berlin II,Türkiyemspor Berlin,1,2,away
21,Berliner SV 1892,Berliner SC II,3,1,away
21,VfB Concordia Britz 1916,TSV Rudow Berlin,0,2,away
21,FSV Berolina Stralau 1901,SC Borsigwalde 1910,3,6,away
22,FC Viktoria 1889 Berlin II,TSV Rudow Berlin,5,3,home
22,VfB Concordia Britz 1916,BFC Meteor 06,0,0,home
22,Berliner SV 1892,BFC Preussen II,5,0,home
22,Türkiyemspor Berlin,SV Stern Britz 1889,3,0,home
22,FC Internationale Berlin 1980,Köpenicker FC,2,4,home
22,Berliner SC II,BSV Eintracht Mahlsdorf II,1,2,home
22,BSV Al-Dersimspor,SC Borsigwalde 1910,2,2,home
22,SV Empor Berlin II,FSV Berolina Stralau 1901,2,2,home
22,TSV Rudow Berlin,FC Viktoria 1889 Berlin II,3,5,away
22,BFC Meteor 06,VfB Concordia Britz 1916,0,0,away
