scorer,team,opponent,minute,score
Diokhane,BSV Al-Dersimspor,FC Viktoria 1889 Berlin II,31,2:0
Riese,BFC Meteor 06,BFC Preussen II,17,1:0
Jüterbock,BFC Meteor 06,BFC Preussen II,39,2:0
Böhm,BFC Meteor 06,BFC Preussen II,52,3:0
Kranz,FC Internationale Berlin 1980,SV Stern Britz 1889,21,1:0
Costa Echeverria,FC Internationale Berlin 1980,SV Stern Britz 1889,40,2:0
Costa Echeverria,FC Internationale Berlin 1980,SV Stern Britz 1889,52,3:0
Topel,FC Internationale Berlin 1980,SV Stern Britz 1889,71,4:0
Schindler,FC Internationale Berlin 1980,SV Stern Britz 1889,77,5:0
Ovcharov,FC Internationale Berlin 1980,SV Stern Britz 1889,80,6:0
Ovcharov,FC Internationale Berlin 1980,SV Stern Britz 1889,90,7:0
Zauner,Berliner SV 1892,TSV Rudow Berlin,16,1:1
Adler,FSV Berolina Stralau 1901,Köpenicker FC,23,1:0
Adler,FSV Berolina Stralau 1901,Köpenicker FC,45,2:0
Welch,FSV Berolina Stralau 1901,Köpenicker FC,80,3:1
Weglöhner,VfB Concordia Britz 1916,BSV Eintracht Mahlsdorf II,28,1:0
Auctun,VfB Concordia Britz 1916,BSV Eintracht Mahlsdorf II,82,2:0
Faizi,SV Empor Berlin II,SC Borsigwalde 1910,35,1:0
Nixdorf,SV Empor Berlin II,SC Borsigwalde 1910,75,2:0
Tuckerman,SV Empor Berlin II,SC Borsigwalde 1910,90,3:0
Einspannier,Berliner SC II,Türkiyemspor Berlin,32,1:0
Lorenz,Berliner SC II,Türkiyemspor Berlin,90,2:0
Almedom,FC Viktoria 1889 Berlin II,BSV Al-Dersimspor,63,2:2
Weinlein,FC Viktoria 1889 Berlin II,BSV Al-Dersimspor,90,2:3
Günther,TSV Rudow Berlin,Berliner SV 1892,12,0:1
Günther,TSV Rudow Berlin,Berliner SV 1892,45,1:2
O. Ondo Mangue,Köpenicker FC,FSV Berolina Stralau 1901,47,2:1
Preiß,BSV Eintracht Mahlsdorf II,VfB Concordia Britz 1916,87,2:1
