Rank,Team,Name,Nr,Pos,Spiele,Scorerpoints
33,Türkiyemspor Berlin,Volkan Neziroglu,NA,ST,11,0.455
34,Türkiyemspor Berlin,Mehmet Tunay,NA,LM,11,0.455
35,TSV Rudow Berlin,Talha Sennur,24,ST,20,0.45
36,Berliner SV 1892,Sebastian Sobczyk,9,ST,9,0.444
37,FC Internationale Berlin 1980,Maximilian De Rosnay,17,NA,9,0.444
38,BSV Eintracht Mahlsdorf II,Reto Reichenberger,7,ST,25,0.44
39,Köpenicker FC,Jose Antonio Ondo Mangue,21,NA,14,0.429
40,Berliner SC II,Danilo Arsic,11,ST,7,0.429
41,BFC Meteor 06,Mohammed Hamiss,99,NA,12,0.417
42,BFC Meteor 06,Pascal-Rene Jüterbock,84,LM,17,0.412
43,BFC Preussen II,Hugo Timur,7,ST,15,0.4
44,BFC Meteor 06,Serkan Karasu,3,IV,25,0.4
45,Berliner SV 1892,Julius Zauner,11,ST,25,0.4
46,BSV Eintracht Mahlsdorf II,Jonas Maroske,6,ZM,20,0.4
47,Berliner SC II,Tim Niedenhoff,19,ZM,18,0.389
48,BSV Eintracht Mahlsdorf II,Marc Michas,10,ZM,18,0.389
49,Köpenicker FC,Alexander Foth,11,RM,13,0.385
50,Berliner SV 1892,Robin Wolff,25,ST,8,0.375
51,FC Internationale Berlin 1980,Nicholas Cartwright Stanley,18,ZOM,19,0.368
52,BSV Al-Dersimspor,Mohamad-Ali Chawraba,47,ST,11,0.364
53,FC Viktoria 1889 Berlin II,Maciej Macias,24,ZOM,11,0.364
54,Türkiyemspor Berlin,Enes Uzun,25,RM,20,0.35
55,FC Internationale Berlin 1980,Matteo Topal,31,ZDM,20,0.35
56,Türkiyemspor Berlin,Omid Saberdest,5,ZOM,23,0.348
57,BFC Preussen II,Magnus Stahlberg,16,IV,18,0.333
58,Berliner SC II,Kevin Uwe Einspannier,6,ZM,21,0.333
59,FC Viktoria 1889 Berlin II,Alican Ali,29,ST,12,0.333
60,BFC Meteor 06,Farouk Ben Mustapha,18,ST,9,0.333
61,FC Viktoria 1889 Berlin II,Joshua Isaias Almedom,3,RM,19,0.316
62,Berliner SC II,Stefan Glaser,9,ST,16,0.312
63,Köpenicker FC,Felix Wittenburg,24,ZM,16,0.312
64,Berliner SV 1892,Tim Paschke,13,ST,13,0.308
65,BSV Eintracht Mahlsdorf II,Tim-Luca Eberl,NA,RV,13,0.308
66,SV Empor Berlin II,Nico Bochnia,23,ST,13,0.308
67,Berliner SV 1892,David Bellin,28,ST,23,0.304
68,FSV Berolina Stralau 1901,Robert Adler,3,ST,10,0.3
69,VfB Concordia Britz 1916,Lionel Krampah,NA,ZM,10,0.3
70,FSV Berolina Stralau 1901,Eric Stier,5,ST,20,0.3
71,SV Empor Berlin II,Jonathan Stolp,7,RM,10,0.3
72,Berliner SC II,Erhan Kücükosman,10,ST,17,0.294
73,Berliner SV 1892,Paul Busche,7,LM,24,0.292
74,Berliner SC II,Linus Dersch,NA,RM,7,0.286
75,BFC Meteor 06,Fredy Balde,8,LM,7,0.286
76,FC Internationale Berlin 1980,Nicolas Costa Echeverria,4,IV,21,0.286
77,FC Internationale Berlin 1980,Oscar Reinaldo Avendano Leon,30,LM,7,0.286
78,Berliner SV 1892,Lennard Schleifenbaum,21,ST,25,0.28
79,TSV Rudow Berlin,Melih Hortum,10,ZOM,18,0.278
80,BFC Preussen II,Lasse Engelsing,12,LV,18,0.278
81,Köpenicker FC,Nicolas Tauschwitz,10,LM,18,0.278
82,BFC Preussen II,Rommel Abou-Chaker,13,ST,11,0.273
83,FC Viktoria 1889 Berlin II,David Nagel,4,IV,11,0.273
84,FC Viktoria 1889 Berlin II,Justin Thiele,6,IV,22,0.273
85,SC Borsigwalde 1910,Fabio Rondinelli,9,RM,19,0.263
86,TSV Rudow Berlin,Elias Burda,13,IV,23,0.261
87,VfB Concordia Britz 1916,Felix Weglöhner,6,RM,23,0.261
88,BFC Preussen II,Ugurcan Yilmaz,48,ZOM,12,0.25
89,FSV Berolina Stralau 1901,Tom Jonach,16,IV,16,0.25
90,BFC Preussen II,Dan Feldmann,NA,NA,8,0.25
91,BFC Meteor 06,Oktay Ugur,17,ZOM,20,0.25
92,SC Borsigwalde 1910,Magnus Crone,14,RM,20,0.25
93,FC Internationale Berlin 1980,Ryan Max Robert French,14,ST,20,0.25
94,BFC Meteor 06,Ibrahim Celik,47,RM,20,0.25
95,VfB Concordia Britz 1916,Jerry Gase,7,ST,21,0.238
96,BSV Eintracht Mahlsdorf II,Carl-Lennart Stöver,19,LV,21,0.238
97,BSV Eintracht Mahlsdorf II,Tim Pötig,15,RV,21,0.238
98,SV Empor Berlin II,Demba Mendy,9,ST,17,0.235
99,SV Stern Britz 1889,Shaker Shawrdi,20,LM,17,0.235
