ID,Name,Team,Spiele,Tore,Assists,Gelbe.Karten,Gelb.Rote.Karten,Rote.Karten,Einwechslung,Auswechslung,Spielzeit,X11.des.Tages,Nummer,playtime_ratio,avg_playtime_per_game,scorerpoints_per_game,best_player_appearances,best_player_ratio,total_points,matches_played,match_diff,points_per_game,normalized_points_per_game,weighted_score,most_position,second_position,position_percentage,second_position_percentage
554297,El-Amin Elsaadawi,Berliner SV 1892,19,4,0,0,0,0,11,6,753,0,17,0.279,0.44,0.211,1,0.053,12,7,12,1.714,0.571,0.56,ST,LM,26%,5%
554433,Caglar Halici,BSV Al-Dersimspor,1,0,0,0,0,0,0,0,90,0,NA,0.033,1,0,1,1,0,1,0,0,0,0.507,ST,NA,100%,0%
554475,Hüseyin Ali Kaloglu,BSV Al-Dersimspor,1,0,0,0,0,0,0,0,90,0,NA,0.033,1,0,1,1,0,1,0,0,0,0.507,IV,NA,100%,0%
554483,Önder Senkaya,BSV Al-Dersimspor,1,0,0,0,0,0,1,0,14,0,NA,0.005,0.156,0,0,0,0,0,1,0,0,0.032,NA,NA,NA%,0%
554528,Marcel Knaack,SC Borsigwalde 1910,10,6,0,0,0,0,1,5,737,1,NA,0.273,0.819,0.6,3,0.3,8,8,2,1,0.333,0.542,ST,NA,70%,0%
554638,Patrick Maykowski,TSV Rudow Berlin,25,4,0,0,0,0,2,16,1965,1,20,0.728,0.873,0.16,6,0.24,56,23,2,2.435,0.812,0.96,RM,LM,60%,8%
555367,Tim Wenke,VfB Concordia Britz 1916,14,0,0,0,0,0,0,3,1171,0,5,0.434,0.929,0,3,0.214,10,12,2,0.833,0.278,0.531,IV,LV,50%,14%
555415,Tom Jonach,FSV Berolina Stralau 1901,16,2,2,1,1,0,1,2,1313,1,16,0.486,0.912,0.25,0,0,19,15,1,1.267,0.422,0.575,IV,ZM,25%,25%
555430,Philipp Kemkes,SV Stern Britz 1889,3,1,0,1,0,0,3,0,123,0,NA,0.046,0.456,0.333,0,0,0,0,3,0,0,0.1,NA,NA,NA%,0%
555627,Lukas Strehlke,Berliner SC II,1,0,0,0,0,0,1,0,10,0,NA,0.004,0.111,0,0,0,0,0,1,0,0,0.023,NA,NA,NA%,0%
555710,Kevin Uwe Einspannier,Berliner SC II,22,5,2,1,1,1,0,3,1893,0,6,0.701,0.956,0.318,3,0.136,21,20,2,1.05,0.35,0.617,ZM,ST,45%,23%
555713,Nelson Antoniofrancisco,Berliner SC II,8,1,0,0,0,0,6,2,265,0,7,0.098,0.368,0.125,0,0,1,2,6,0.5,0.167,0.21,LM,NA,25%,0%
555745,Max Vincent Bolz,Berliner SC II,8,0,0,0,0,0,2,1,578,0,20,0.214,0.803,0,4,0.5,9,6,2,1.5,0.5,0.703,ZM,ST,38%,25%
555829,Yusuf Abouri,BFC Meteor 06,4,0,0,1,0,0,3,1,111,0,NA,0.041,0.308,0,0,0,0,1,3,0,0,0.07,RV,NA,25%,0%
555945,Kenneth Weise,SC Borsigwalde 1910,16,1,0,0,0,0,3,2,1144,0,49,0.424,0.794,0.062,2,0.125,12,13,3,0.923,0.308,0.496,IV,NA,69%,0%
557280,Fabio Zielske,SV Stern Britz 1889,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0%
557281,Marcel Lieker,SV Stern Britz 1889,1,0,0,0,0,0,0,0,90,0,NA,0.033,1,0,1,1,0,0,1,0,0,0.507,NA,NA,NA%,0%
557298,Robin Eschert,VfB Concordia Britz 1916,4,0,0,0,0,0,1,1,263,0,14,0.097,0.731,0,1,0.25,0,4,0,0,0,0.241,LV,RV,50%,50%
557610,Dan Feldmann,BFC Preussen II,9,2,0,1,0,0,8,1,272,0,NA,0.101,0.336,0.222,1,0.111,3,2,7,1.5,0.5,0.471,ST,NA,11%,0%
560181,Lukas Grützner,BSV Eintracht Mahlsdorf II,18,1,0,0,0,0,3,6,1214,1,8,0.45,0.749,0.056,4,0.222,18,15,3,1.2,0.4,0.586,IV,ZM,39%,33%
561892,Benjamin Schnack,Berliner SV 1892,12,0,0,0,0,0,4,1,743,0,NA,0.275,0.688,0,2,0.167,21,8,4,2.625,0.875,0.855,IV,LM,42%,8%
562984,Robin Wolff,Berliner SV 1892,8,3,0,0,0,0,6,1,302,0,25,0.112,0.419,0.375,1,0.125,1,1,7,1,0.333,0.377,ST,NA,12%,0%
564086,Serkan Karasu,BFC Meteor 06,26,9,1,8,0,0,0,2,2294,4,3,0.85,0.98,0.385,8,0.308,54,25,1,2.16,0.72,0.962,IV,ZDM,46%,23%
564117,Dustin Sik,SV Stern Britz 1889,13,3,0,0,1,0,0,0,1171,1,7,0.434,1.001,0.231,1,0.077,10,13,0,0.769,0.256,0.49,RM,ST,38%,31%
564129,Kevin Wesolek,Köpenicker FC,2,0,0,0,0,0,2,0,7,0,16,0.003,0.039,0,0,0,0,0,2,0,0,0.008,NA,NA,NA%,0%
564200,Yusuf Yildirim,SV Stern Britz 1889,1,0,0,1,0,0,1,0,34,0,NA,0.013,0.378,0,3,3,5,5,-4,1,0.333,1.212,ZDM,ZOM,200%,200%
565855,Tom Nischwitz,Köpenicker FC,15,0,0,0,0,0,7,2,798,0,5,0.296,0.591,0,1,0.067,7,8,7,0.875,0.292,0.402,IV,RV,40%,13%
569339,Jeffrey Kräft,SC Borsigwalde 1910,11,0,0,0,0,0,0,0,990,0,37,0.367,1,0,3,0.273,14,11,0,1.273,0.424,0.652,TW,NA,109%,0%
569509,Onurcan Üremis,BSV Al-Dersimspor,1,0,0,0,0,0,1,0,6,0,NA,0.002,0.067,0,0,0,0,0,1,0,0,0.014,NA,NA,NA%,0%
572496,Bartosz Palubski,SV Stern Britz 1889,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0%
573222,Philip Möhle,Köpenicker FC,16,1,0,0,0,0,2,8,1178,0,28,0.436,0.818,0.062,3,0.188,22,14,2,1.571,0.524,0.674,RV,ZM,44%,25%
577635,Aziz Ökten,BSV Al-Dersimspor,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0%
580589,Björn Röchert,VfB Concordia Britz 1916,9,1,0,0,0,0,2,0,701,0,30,0.26,0.865,0.111,1,0.111,0,7,2,0,0,0.258,IV,RV,44%,22%
581082,Sercan-Günay Seyyidoglu,BSV Al-Dersimspor,9,0,0,0,0,0,5,3,375,0,17,0.139,0.463,0,0,0,1,3,6,0.333,0.111,0.198,LM,ST,11%,11%
583232,Jerry Gase,VfB Concordia Britz 1916,21,3,2,0,0,0,2,10,1591,1,7,0.589,0.842,0.238,0,0,0,1,20,0,0,0.286,ST,NA,5%,0%
583233,Welton Pereira Dos Santos,BSV Al-Dersimspor,19,1,0,0,0,0,6,8,1098,0,94,0.407,0.642,0.053,0,0,0,0,19,0,0,0.21,NA,NA,NA%,0%
585335,Mücahid Kahraman,BSV Al-Dersimspor,20,1,1,0,0,0,6,12,1176,0,3,0.436,0.653,0.1,1,0.05,11,12,8,0.917,0.306,0.447,RV,RM,30%,15%
587395,Kerem Erman,SV Stern Britz 1889,1,0,0,0,0,0,1,0,16,0,NA,0.006,0.178,0,0,0,0,0,1,0,0,0.037,NA,NA,NA%,0%
587441,Karl Anker,Berliner SV 1892,23,0,0,0,0,0,8,11,1221,0,8,0.452,0.59,0,4,0.174,28,15,8,1.867,0.622,0.696,RV,IV,22%,17%
589040,Bahadir Katirci,BFC Meteor 06,6,0,0,0,0,0,6,0,58,0,7,0.021,0.107,0,0,0,0,0,6,0,0,0.026,NA,NA,NA%,0%
589529,Daniel Schneidawind,SV Empor Berlin II,3,2,0,0,0,0,0,1,259,0,13,0.096,0.959,0.667,0,0,3,3,0,1,0.333,0.444,IV,NA,100%,0%
589795,Noah Peter,Berliner SC II,13,1,0,1,0,0,2,2,989,1,12,0.366,0.845,0.077,6,0.462,10,11,2,0.909,0.303,0.593,ZM,ZDM,69%,15%
589922,Alexander Huse,Berliner SC II,16,0,1,0,0,0,9,7,462,0,13,0.171,0.321,0.062,0,0,7,7,9,1,0.333,0.332,ST,RM,38%,6%
591698,Antonio Ciao,SC Borsigwalde 1910,3,0,0,0,0,0,3,0,23,0,22,0.009,0.085,0,0,0,8,5,-2,1.6,0.533,0.392,ZDM,ZOM,67%,67%
603109,Yannic Behrendt,VfB Concordia Britz 1916,8,0,0,0,0,0,4,0,509,0,NA,0.189,0.707,0,1,0.125,6,5,3,1.2,0.4,0.497,IV,NA,62%,0%
609587,Mustafa Arslan,BSV Al-Dersimspor,6,0,0,0,0,0,0,0,540,1,1,0.2,1,0,1,0.167,9,6,0,1.5,0.5,0.64,TW,NA,83%,0%
609589,Ahmad Zahlan,BFC Meteor 06,24,0,1,10,0,0,0,11,1940,2,6,0.719,0.898,0.042,10,0.417,53,24,0,2.208,0.736,0.964,ZDM,ZM,54%,33%
610525,Antonio Boeddinghaus,FC Internationale Berlin 1980,15,2,0,0,0,0,3,1,1097,1,6,0.406,0.813,0.133,4,0.267,14,12,3,1.167,0.389,0.596,LV,IV,40%,33%
611139,Marc Anthony Weisse,SV Stern Britz 1889,1,0,0,0,0,0,0,1,84,0,NA,0.031,0.933,0,1,1,3,1,0,3,1,1.193,ZM,NA,100%,0%
611865,Nikita Charkov,Berliner SV 1892,20,5,0,0,1,0,3,6,1569,1,20,0.581,0.872,0.25,6,0.3,30,17,3,1.765,0.588,0.792,IV,LM,25%,15%
614245,Riccardo Ciao,SC Borsigwalde 1910,22,1,0,0,0,0,2,7,1733,0,18,0.642,0.875,0.045,0,0,8,5,17,1.6,0.533,0.677,ZDM,ZOM,9%,9%
614261,Suphi Tekin,SV Stern Britz 1889,3,0,0,0,0,0,3,0,94,0,NA,0.035,0.348,0,0,0,0,0,3,0,0,0.077,NA,NA,NA%,0%
614980,Ian Kroh,BSV Eintracht Mahlsdorf II,2,0,0,0,0,0,0,0,180,0,NA,0.067,1,0,0,0,3,2,0,1.5,0.5,0.563,IV,NA,50%,0%
616826,Lionel Krampah,VfB Concordia Britz 1916,11,5,0,0,0,0,0,5,914,0,NA,0.339,0.923,0.455,2,0.182,16,11,0,1.455,0.485,0.647,ZM,ST,91%,9%
627318,Romario Hartwig,BFC Preussen II,2,1,0,0,0,0,0,1,173,0,NA,0.064,0.961,0.5,0,0,3,2,0,1.5,0.5,0.555,ST,NA,50%,0%
627319,Matteo Günther,TSV Rudow Berlin,25,21,1,1,0,0,0,8,2191,9,9,0.811,0.974,0.88,7,0.28,52,22,3,2.364,0.788,0.993,ST,TW,76%,4%
627402,Jakob Heilmann,Berliner SC II,19,0,0,0,0,0,2,3,1434,0,2,0.531,0.839,0,2,0.105,20,18,1,1.111,0.37,0.565,LV,LM,58%,26%
627559,Amir Awag,BSV Al-Dersimspor,24,1,0,0,0,0,1,3,2038,0,5,0.755,0.944,0.042,3,0.125,26,23,1,1.13,0.377,0.641,RV,IV,42%,29%
636409,Okan Özkaya,SV Stern Britz 1889,7,0,0,0,0,0,7,0,125,0,3,0.046,0.198,0,0,0,0,0,7,0,0,0.049,NA,NA,NA%,0%
654219,Maurice Meyer,SV Empor Berlin II,11,0,0,0,0,0,1,0,954,2,1,0.353,0.964,0,1,0.091,12,10,1,1.2,0.4,0.571,TW,NA,91%,0%
