ID,Name,Team,Nummer
952736,Devis Meißner,BSV Eintracht Mahlsdorf II,
1019739,Philipp Macketanz,SV Empor Berlin II,15
1074492,Demba Mendy,SV Empor Berlin II,9
1084796,Sam Misgayski,SV Empor Berlin II,22
1102194,Pascal Bräkow,SV Empor Berlin II,2
1102198,Pjotr Xaver Strelets,SV Empor Berlin II,
1150915,Tilman Schinzel,SV Empor Berlin II,14
1256639,Falk Marquard,SV Empor Berlin II,
1263535,Jonathan Stolp,SV Empor Berlin II,7
1275859,Hong Phuc Dinh,SV Empor Berlin II,17
1754489,Niclas Nixdorf,SV Empor Berlin II,3
1754490,Jannick Wollmann,SV Empor Berlin II,
1891968,Aaron Yusuff,SV Empor Berlin II,
1915210,Alvenzio Ettah,SV Empor Berlin II,19
1946020,Milo Lippe,SV Empor Berlin II,8
1946021,Nico Bochnia,SV Empor Berlin II,23
1946024,Emile Ako,SV Empor Berlin II,
1955784,Leon Drannaschk,SV Empor Berlin II,10
1979837,Robert Kurth,SV Empor Berlin II,22
1980611,Oskar Kühn,SV Empor Berlin II,23
2036096,Janne Henrik Bloch,SV Empor Berlin II,33
2169394,Julian Duczmal,SV Empor Berlin II,
2182604,Billy Bradley Tuckerman,SV Empor Berlin II,
2200063,Rafael Mentrup,SV Empor Berlin II,21
2202103,Laszlo Braun,SV Empor Berlin II,22
2202118,Daniil Savenko,SV Empor Berlin II,18
2342434,Keita Udo,SV Empor Berlin II,12
2359467,Laurens Cerny,SV Empor Berlin II,20
589529,Daniel Schneidawind,SV Empor Berlin II,13
654219,Maurice Meyer,SV Empor Berlin II,1
681368,Tjerk Ortmann,SV Empor Berlin II,4
720266,Dennis Seiler,SV Empor Berlin II,11
854386,Tom Wessel,SV Empor Berlin II,24
886558,Elias Thürigen,SV Empor Berlin II,5
1077595,David Mpembele Nzongo,SC Borsigwalde 1910,25
1317878,Firat Yildirim,SC Borsigwalde 1910,15
1355989,Khaled El-Okkla,SC Borsigwalde 1910,27
1368732,David Chukwu,SC Borsigwalde 1910,
1890422,Philip Bartoschek,SC Borsigwalde 1910,17
1892792,Mohammed Yaqoobi,SC Borsigwalde 1910,3
1935091,Kai Neumann,SC Borsigwalde 1910,21
1935092,Eren Motuk,SC Borsigwalde 1910,5
2035911,Furkan Yildirim,SC Borsigwalde 1910,13
2139385,Pedro Lucas Santanna Miranda Silva,SC Borsigwalde 1910,10
2162072,Joao Victor Braga De Souza,SC Borsigwalde 1910,2
2179211,Mehdi Bencheikh,SC Borsigwalde 1910,
2181075,Oskar Denis Cuesta,SC Borsigwalde 1910,11
2268670,Yannick Djekonbe,SC Borsigwalde 1910,20
2319724,Adam Barnat,SC Borsigwalde 1910,6
363862,Marcel Bubner,SC Borsigwalde 1910,19
524620,Mahmoud Akkaoui,SC Borsigwalde 1910,4
534567,Tobias Knetsch,SC Borsigwalde 1910,23
555945,Kenneth Weise,SC Borsigwalde 1910,49
569339,Jeffrey Kräft,SC Borsigwalde 1910,37
591698,Antonio Ciao,SC Borsigwalde 1910,22
614245,Riccardo Ciao,SC Borsigwalde 1910,18
774865,Michel Stefaniszin,SC Borsigwalde 1910,8
781216,Kevin Kummer,SC Borsigwalde 1910,29
953241,Magnus Crone,SC Borsigwalde 1910,14
956353,Fabio Rondinelli,SC Borsigwalde 1910,9
114840,Moris Fikic,BFC Preussen II,10
1336637,Alexander Gajda,BFC Preussen II,14
1344722,Nils Szerwinski,BFC Preussen II,21
1423572,Meiko Hesse,BFC Preussen II,6
1665462,Serhan Arslani,BFC Preussen II,
1668476,Tim Eymann,BFC Preussen II,19
1721667,Kevin Anderson Moreira Godinho,BFC Preussen II,18
1826107,Lasse Engelsing,BFC Preussen II,12
1873146,Marko Fischer,BFC Preussen II,4
1873370,Tim Henseler,BFC Preussen II,
1888806,Adam Lamkaddam,BFC Preussen II,32
1890439,Jeff Nnaemeka-Chukwurah,BFC Preussen II,28
1892786,Ali Hammoud,BFC Preussen II,
1892794,Maximilian Schatz,BFC Preussen II,24
1892806,Lucky Ugbogbo,BFC Preussen II,
1934115,Gani Gashi,BFC Preussen II,33
1983812,Atacan Özcan,BFC Preussen II,22
2065608,Christian Müller,BFC Preussen II,25
2113936,Kemo Andresen,BFC Preussen II,
2154574,Theo Kagoue,BFC Preussen II,45
273926,Vahit Engin,BFC Preussen II,11
346905,Levent Mucuk,BFC Preussen II,55
359310,Magnus Stahlberg,BFC Preussen II,16
427035,Paul Miggel,BFC Preussen II,8
494671,Ugurcan Yilmaz,BFC Preussen II,48
519263,Malte Hartmann,BFC Preussen II,31
519270,Lukas Kohlmann,BFC Preussen II,20
553789,Yasin Demir,BFC Preussen II,30
553810,Rommel Abou-Chaker,BFC Preussen II,13
553814,Marcel Berner,BFC Preussen II,15
553841,Hugo Timur,BFC Preussen II,7
691769,Oliver Schill,BFC Preussen II,
831475,Dominik Dietzel,BFC Preussen II,1
1081154,Achmed El-Noumeiri,BSV Al-Dersimspor,
1098901,Onur Kalkan,BSV Al-Dersimspor,63
1102174,Baris Güngör,BSV Al-Dersimspor,
1823110,William Essel,BSV Al-Dersimspor,9
1870634,Kaan Ucbaglar,BSV Al-Dersimspor,44
1979474,Merdie Tshondo,BSV Al-Dersimspor,20
2181029,Jonathan Schäfer,BSV Al-Dersimspor,18
2278083,Argjent Krasniqi,BSV Al-Dersimspor,12
258670,Karsten Schleifring,BSV Al-Dersimspor,25
26811,Max Kruse,BSV Al-Dersimspor,30
507979,Patrick Boel,BSV Al-Dersimspor,1
524331,Milos Savkovic,BSV Al-Dersimspor,8
554433,Caglar Halici,BSV Al-Dersimspor,
554475,Hüseyin Ali Kaloglu,BSV Al-Dersimspor,
554483,Önder Senkaya,BSV Al-Dersimspor,
581082,Sercan-Günay Seyyidoglu,BSV Al-Dersimspor,17
583233,Welton Pereira Dos Santos,BSV Al-Dersimspor,94
585335,Mücahid Kahraman,BSV Al-Dersimspor,3
609587,Mustafa Arslan,BSV Al-Dersimspor,1
627559,Amir Awag,BSV Al-Dersimspor,5
666752,Vittorio Achour,BSV Al-Dersimspor,
693057,Merdan Baba,BSV Al-Dersimspor,10
696770,Sam Diokhane,BSV Al-Dersimspor,4
737592,Mohamad-Ali Chawraba,BSV Al-Dersimspor,47
777705,Emre-Eyüp Önal,BSV Al-Dersimspor,7
836435,Karim Zagmouz,BSV Al-Dersimspor,6
845397,Caglar Polat,BSV Al-Dersimspor,27
849613,Etem Tonk,BSV Al-Dersimspor,24
939988,Leorant Abduli,BSV Al-Dersimspor,23
1053158,Akiyasu Tsuchiya,FSV Berolina Stralau 1901,6
1080229,Tobias Reuter,FSV Berolina Stralau 1901,4
1089199,Pablo Guillen,FSV Berolina Stralau 1901,8
1119568,Ibrahim Diallo,FSV Berolina Stralau 1901,10
1198078,Ole Bresemann,FSV Berolina Stralau 1901,9
1202663,Eric Stier,FSV Berolina Stralau 1901,5
1263543,Lucas Hufnagel,FSV Berolina Stralau 1901,
1371324,Leeroy-Life Leffke,FSV Berolina Stralau 1901,13
1424435,Alfredo-Manuel Villanueva Bravo,FSV Berolina Stralau 1901,10
1474129,Milan Stricker,FSV Berolina Stralau 1901,
1474135,Georg Schönfelder,FSV Berolina Stralau 1901,3
1643968,Noah Maiß,FSV Berolina Stralau 1901,21
16444,Robert Adler,FSV Berolina Stralau 1901,3
1651373,David Bode,FSV Berolina Stralau 1901,18
1691207,Arian Saiti,FSV Berolina Stralau 1901,17
1834773,Andreas Friese,FSV Berolina Stralau 1901,23
1892782,Yussef Jradi,FSV Berolina Stralau 1901,11
1942527,Erik Sieber,FSV Berolina Stralau 1901,
2268475,Adrian Welch,FSV Berolina Stralau 1901,7
2302529,Adnan Shah,FSV Berolina Stralau 1901,
2378715,Denys Kovtun,FSV Berolina Stralau 1901,
284753,Jannes Potthoff,FSV Berolina Stralau 1901,1
315427,Denis Rolke,FSV Berolina Stralau 1901,15
477254,Daniel Fischer,FSV Berolina Stralau 1901,19
555415,Tom Jonach,FSV Berolina Stralau 1901,16
818845,Christopher Schwarz,FSV Berolina Stralau 1901,
822016,Sebastian Heßler,FSV Berolina Stralau 1901,12
871111,Philipp Nikolajewski,FSV Berolina Stralau 1901,14
872943,Emilio Son,FSV Berolina Stralau 1901,7
889788,Viktor Kreisel,FSV Berolina Stralau 1901,20
933040,Ian Häberle,FSV Berolina Stralau 1901,22
113988,Robin Hoth,SF Johannisthal II,28
1330639,Adam Szymczyk,SF Johannisthal II,
1359357,Tim Schumacher,SF Johannisthal II,
1359359,Nick Herfurth,SF Johannisthal II,16
1359361,Tim Löffler,SF Johannisthal II,
1398004,Norick Kopp,SF Johannisthal II,
1411166,Patryk Bojarski,SF Johannisthal II,
1535166,Jannis Staacks,SF Johannisthal II,
1775817,Ricardo Grosch,SF Johannisthal II,
1776199,Tom Franke,SF Johannisthal II,4
1776202,Max Hoffmann,SF Johannisthal II,
1776209,Johann Sengenberger,SF Johannisthal II,29
1780326,Paul Sören Friedrich,SF Johannisthal II,11
1850389,Niklas Hagen,SF Johannisthal II,
1861798,Ahmad Ajjan Al Hadid,SF Johannisthal II,13
1927685,Lennard Bahlmann,SF Johannisthal II,
1962487,Artiom Railean,SF Johannisthal II,18
1979839,John Rogge,SF Johannisthal II,7
2028321,Colin Gonda,SF Johannisthal II,20
2110477,William Paul,SF Johannisthal II,
