"matchday","H","A","Tore_H","Tore_A","prob_home_win","prob_draw","prob_away_win"
16,"Füchse Berlin","SFC Stern 1900",NA,NA,0.394,0.318,0.287
16,"VSG Altglienicke II","SV BW Hohen Neuendorf",NA,NA,0.309,0.336,0.356
16,"Sp.Vg. Blau Weiß 1890 Berlin","erlin Türkspor",NA,NA,0.369,0.33,0.302
16,"SV Empor Berlin","FSV Spandauer Kickers",NA,NA,0.309,0.336,0.356
16,"VfB Fortuna Biesdorf","SC Staaken",NA,NA,0.408,0.313,0.28
16,"SC Charlottenburg","1. FC Wilmersdorf",NA,NA,0.381,0.324,0.294
16,"Frohnauer SC","SSC Südwest 1947",NA,NA,0.421,0.307,0.272
16,"Berliner SC","TSV Rudow Berlin",NA,NA,0.408,0.313,0.28
16,"TSV Mariendorf 1897","Polar Pinguin Berlin",NA,NA,0.408,0.313,0.28
17,"1. FC Wilmersdorf","SSC Südwest 1947",NA,NA,0.356,0.336,0.308
17,"TSV Rudow Berlin","erlin Türkspor",NA,NA,0.315,0.341,0.343
17,"Füchse Berlin","Sp.Vg. Blau Weiß 1890 Berlin",NA,NA,0.369,0.33,0.302
17,"SC Charlottenburg","VfB Fortuna Biesdorf",NA,NA,0.356,0.336,0.308
17,"SFC Stern 1900","VSG Altglienicke II",NA,NA,0.381,0.324,0.294
17,"SV Empor Berlin","Berliner SC",NA,NA,0.331,0.347,0.322
17,"FSV Spandauer Kickers","SC Staaken",NA,NA,0.448,0.296,0.257
17,"Polar Pinguin Berlin","SV BW Hohen Neuendorf",NA,NA,0.295,0.325,0.38
17,"TSV Mariendorf 1897","Frohnauer SC",NA,NA,0.331,0.347,0.322
18,"Polar Pinguin Berlin","Sp.Vg. Blau Weiß 1890 Berlin",NA,NA,0.315,0.341,0.343
18,"TSV Rudow Berlin","VSG Altglienicke II",NA,NA,0.343,0.342,0.315
18,"FSV Spandauer Kickers","VfB Fortuna Biesdorf",NA,NA,0.408,0.313,0.28
18,"Füchse Berlin","SV Empor Berlin",NA,NA,0.434,0.301,0.264
18,"SFC Stern 1900","Frohnauer SC",NA,NA,0.331,0.347,0.322
18,"SC Charlottenburg","Berliner SC",NA,NA,0.356,0.336,0.308
18,"SSC Südwest 1947","SV BW Hohen Neuendorf",NA,NA,0.309,0.336,0.356
18,"erlin Türkspor","SC Staaken",NA,NA,0.434,0.301,0.264
18,"1. FC Wilmersdorf","TSV Mariendorf 1897",NA,NA,0.343,0.342,0.315
19,"SC Staaken","SSC Südwest 1947",NA,NA,0.343,0.342,0.315
19,"erlin Türkspor","1. FC Wilmersdorf",NA,NA,0.421,0.307,0.272
19,"SV BW Hohen Neuendorf","TSV Rudow Berlin",NA,NA,0.474,0.285,0.241
19,"Berliner SC","Füchse Berlin",NA,NA,0.343,0.342,0.315
19,"Frohnauer SC","SC Charlottenburg",NA,NA,0.421,0.307,0.272
19,"Sp.Vg. Blau Weiß 1890 Berlin","SFC Stern 1900",NA,NA,0.394,0.318,0.287
19,"VSG Altglienicke II","FSV Spandauer Kickers",NA,NA,0.322,0.347,0.331
19,"VfB Fortuna Biesdorf","Polar Pinguin Berlin",NA,NA,0.408,0.313,0.28
19,"SV Empor Berlin","TSV Mariendorf 1897",NA,NA,0.331,0.347,0.322
20,"SSC Südwest 1947","erlin Türkspor",NA,NA,0.331,0.347,0.322
20,"SC Charlottenburg","Sp.Vg. Blau Weiß 1890 Berlin",NA,NA,0.331,0.347,0.322
20,"Polar Pinguin Berlin","VSG Altglienicke II",NA,NA,0.343,0.342,0.315
20,"SFC Stern 1900","VfB Fortuna Biesdorf",NA,NA,0.369,0.33,0.302
20,"1. FC Wilmersdorf","SV Empor Berlin",NA,NA,0.381,0.324,0.294
20,"Füchse Berlin","Frohnauer SC",NA,NA,0.356,0.336,0.308
20,"TSV Mariendorf 1897","Berliner SC",NA,NA,0.369,0.33,0.302
20,"FSV Spandauer Kickers","SV BW Hohen Neuendorf",NA,NA,0.343,0.342,0.315
20,"TSV Rudow Berlin","SC Staaken",NA,NA,0.369,0.33,0.302
21,"SSC Südwest 1947","1. FC Wilmersdorf",NA,NA,0.381,0.324,0.294
21,"erlin Türkspor","TSV Rudow Berlin",NA,NA,0.434,0.301,0.264
21,"Sp.Vg. Blau Weiß 1890 Berlin","Füchse Berlin",NA,NA,0.369,0.33,0.302
21,"VfB Fortuna Biesdorf","SC Charlottenburg",NA,NA,0.381,0.324,0.294
21,"VSG Altglienicke II","SFC Stern 1900",NA,NA,0.356,0.336,0.308
21,"Berliner SC","SV Empor Berlin",NA,NA,0.408,0.313,0.28
21,"SC Staaken","FSV Spandauer Kickers",NA,NA,0.309,0.336,0.356
21,"SV BW Hohen Neuendorf","Polar Pinguin Berlin",NA,NA,0.474,0.285,0.241
21,"Frohnauer SC","TSV Mariendorf 1897",NA,NA,0.408,0.313,0.28
22,"TSV Rudow Berlin","SSC Südwest 1947",NA,NA,0.343,0.342,0.315
22,"FSV Spandauer Kickers","erlin Türkspor",NA,NA,0.381,0.324,0.294
22,"SC Charlottenburg","VSG Altglienicke II",NA,NA,0.369,0.33,0.302
22,"Füchse Berlin","VfB Fortuna Biesdorf",NA,NA,0.394,0.318,0.287
22,"TSV Mariendorf 1897","Sp.Vg. Blau Weiß 1890 Berlin",NA,NA,0.343,0.342,0.315
22,"SFC Stern 1900","SV BW Hohen Neuendorf",NA,NA,0.315,0.341,0.343
22,"SV Empor Berlin","Frohnauer SC",NA,NA,0.309,0.336,0.356
22,"1. FC Wilmersdorf","Berliner SC",NA,NA,0.343,0.342,0.315
22,"Polar Pinguin Berlin","SC Staaken",NA,NA,0.369,0.33,0.302
23,"TSV Rudow Berlin","1. FC Wilmersdorf",NA,NA,0.356,0.336,0.308
23,"VSG Altglienicke II","Füchse Berlin",NA,NA,0.331,0.347,0.322
23,"SC Staaken","SFC Stern 1900",NA,NA,0.331,0.347,0.322
23,"Sp.Vg. Blau Weiß 1890 Berlin","SV Empor Berlin",NA,NA,0.434,0.301,0.264
23,"SSC Südwest 1947","FSV Spandauer Kickers",NA,NA,0.322,0.347,0.331
23,"SV BW Hohen Neuendorf","SC Charlottenburg",NA,NA,0.448,0.296,0.257
23,"Frohnauer SC","Berliner SC",NA,NA,0.408,0.313,0.28
23,"erlin Türkspor","Polar Pinguin Berlin",NA,NA,0.434,0.301,0.264
23,"VfB Fortuna Biesdorf","TSV Mariendorf 1897",NA,NA,0.369,0.33,0.302
24,"VSG Altglienicke II","SSC Südwest 1947",NA,NA,0.369,0.33,0.302
24,"SC Staaken","1. FC Wilmersdorf",NA,NA,0.356,0.336,0.308
24,"VfB Fortuna Biesdorf","TSV Rudow Berlin",NA,NA,0.408,0.313,0.28
24,"SV BW Hohen Neuendorf","erlin Türkspor",NA,NA,0.408,0.313,0.28
24,"TSV Mariendorf 1897","Füchse Berlin",NA,NA,0.343,0.342,0.315
24,"Berliner SC","SFC Stern 1900",NA,NA,0.369,0.33,0.302
24,"Sp.Vg. Blau Weiß 1890 Berlin","FSV Spandauer Kickers",NA,NA,0.356,0.336,0.308
24,"SV Empor Berlin","SC Charlottenburg",NA,NA,0.343,0.342,0.315
24,"Frohnauer SC","Polar Pinguin Berlin",NA,NA,0.448,0.296,0.257
25,"SFC Stern 1900","1. FC Wilmersdorf",NA,NA,0.394,0.318,0.287
25,"FSV Spandauer Kickers","Füchse Berlin",NA,NA,0.381,0.324,0.294
25,"Polar Pinguin Berlin","SC Charlottenburg",NA,NA,0.343,0.342,0.315
25,"SV BW Hohen Neuendorf","Sp.Vg. Blau Weiß 1890 Berlin",NA,NA,0.408,0.313,0.28
25,"SSC Südwest 1947","SV Empor Berlin",NA,NA,0.394,0.318,0.287
25,"VSG Altglienicke II","VfB Fortuna Biesdorf",NA,NA,0.356,0.336,0.308
25,"SC Staaken","Frohnauer SC",NA,NA,0.309,0.336,0.356
25,"erlin Türkspor","Berliner SC",NA,NA,0.394,0.318,0.287
25,"TSV Rudow Berlin","TSV Mariendorf 1897",NA,NA,0.331,0.347,0.322
26,"Polar Pinguin Berlin","SSC Südwest 1947",NA,NA,0.343,0.342,0.315
26,"FSV Spandauer Kickers","TSV Rudow Berlin",NA,NA,0.448,0.296,0.257
26,"SFC Stern 1900","erlin Türkspor",NA,NA,0.343,0.342,0.315
26,"Berliner SC","Sp.Vg. Blau Weiß 1890 Berlin",NA,NA,0.343,0.342,0.315
26,"TSV Mariendorf 1897","VSG Altglienicke II",NA,NA,0.381,0.324,0.294
26,"SV Empor Berlin","VfB Fortuna Biesdorf",NA,NA,0.331,0.347,0.322
26,"1. FC Wilmersdorf","Frohnauer SC",NA,NA,0.315,0.341,0.343
26,"Füchse Berlin","SV BW Hohen Neuendorf",NA,NA,0.331,0.347,0.322
26,"SC Charlottenburg","SC Staaken",NA,NA,0.394,0.318,0.287
27,"erlin Türkspor","SC Charlottenburg",NA,NA,0.408,0.313,0.28
27,"FSV Spandauer Kickers","1. FC Wilmersdorf",NA,NA,0.434,0.301,0.264
27,"SC Staaken","Füchse Berlin",NA,NA,0.315,0.341,0.343
27,"SSC Südwest 1947","SFC Stern 1900",NA,NA,0.356,0.336,0.308
27,"VSG Altglienicke II","SV Empor Berlin",NA,NA,0.394,0.318,0.287
27,"Sp.Vg. Blau Weiß 1890 Berlin","Frohnauer SC",NA,NA,0.356,0.336,0.308
27,"VfB Fortuna Biesdorf","Berliner SC",NA,NA,0.369,0.33,0.302
27,"TSV Rudow Berlin","Polar Pinguin Berlin",NA,NA,0.369,0.33,0.302
27,"SV BW Hohen Neuendorf","TSV Mariendorf 1897",NA,NA,0.434,0.301,0.264
28,"SC Charlottenburg","SSC Südwest 1947",NA,NA,0.369,0.33,0.302
28,"SFC Stern 1900","TSV Rudow Berlin",NA,NA,0.408,0.313,0.28
28,"Füchse Berlin","erlin Türkspor",NA,NA,0.369,0.33,0.302
28,"Berliner SC","VSG Altglienicke II",NA,NA,0.381,0.324,0.294
28,"Frohnauer SC","VfB Fortuna Biesdorf",NA,NA,0.408,0.313,0.28
28,"1. FC Wilmersdorf","Sp.Vg. Blau Weiß 1890 Berlin",NA,NA,0.322,0.347,0.331
28,"Polar Pinguin Berlin","FSV Spandauer Kickers",NA,NA,0.309,0.336,0.356
28,"SV Empor Berlin","SV BW Hohen Neuendorf",NA,NA,0.295,0.325,0.38
28,"TSV Mariendorf 1897","SC Staaken",NA,NA,0.408,0.313,0.28
29,"Polar Pinguin Berlin","1. FC Wilmersdorf",NA,NA,0.356,0.336,0.308
29,"SSC Südwest 1947","Füchse Berlin",NA,NA,0.331,0.347,0.322
29,"TSV Rudow Berlin","SC Charlottenburg",NA,NA,0.343,0.342,0.315
29,"VfB Fortuna Biesdorf","Sp.Vg. Blau Weiß 1890 Berlin",NA,NA,0.343,0.342,0.315
29,"FSV Spandauer Kickers","SFC Stern 1900",NA,NA,0.408,0.313,0.28
29,"SC Staaken","SV Empor Berlin",NA,NA,0.369,0.33,0.302
29,"VSG Altglienicke II","Frohnauer SC",NA,NA,0.322,0.347,0.331
