matchday,H,A,Tore_H,Tore_A,where
14,TSV Mariendorf 1897,FSV Spandauer Kickers,NA,NA,away
14,VfB Fortuna Biesdorf,SV BW Hohen Neuendorf,NA,NA,away
14,Füchse Berlin,Polar Pinguin Berlin,NA,NA,away
14,Sp.Vg. Blau Weiß 1890 Berlin,SC Staaken 1919,NA,NA,away
15,VfB Fortuna Biesdorf,1. FC Wilmersdorf,NA,NA,home
15,SSC Südwest 1947,TSV Mariendorf 1897,NA,NA,home
15,VSG Altglienicke II,Sp.Vg. Blau Weiß 1890 Berlin,NA,NA,home
15,Polar Pinguin Berlin,SFC Stern 1900,NA,NA,home
15,FSV Spandauer Kickers,SC Charlottenburg,NA,NA,home
15,TSV Rudow Berlin,Füchse Berlin,NA,NA,home
15,Berlin Türkspor,SV Empor Berlin,NA,NA,home
15,SC Staaken 1919,Berliner SC,NA,NA,home
15,SV BW Hohen Neuendorf,Frohnauer SC,NA,NA,home
15,1. FC Wilmersdorf,VfB Fortuna Biesdorf,NA,NA,away
15,TSV Mariendorf 1897,SSC Südwest 1947,NA,NA,away
15,Sp.Vg. Blau Weiß 1890 Berlin,VSG Altglienicke II,NA,NA,away
15,SFC Stern 1900,Polar Pinguin Berlin,NA,NA,away
15,SC Charlottenburg,FSV Spandauer Kickers,NA,NA,away
15,Füchse Berlin,TSV Rudow Berlin,NA,NA,away
15,SV Empor Berlin,Berlin Türkspor,NA,NA,away
15,Berliner SC,SC Staaken 1919,NA,NA,away
15,Frohnauer SC,SV BW Hohen Neuendorf,NA,NA,away
16,Füchse Berlin,SFC Stern 1900,NA,NA,home
16,VSG Altglienicke II,SV BW Hohen Neuendorf,NA,NA,home
16,Sp.Vg. Blau Weiß 1890 Berlin,Berlin Türkspor,NA,NA,home
16,SV Empor Berlin,FSV Spandauer Kickers,NA,NA,home
16,VfB Fortuna Biesdorf,SC Staaken 1919,NA,NA,home
16,SC Charlottenburg,1. FC Wilmersdorf,NA,NA,home
16,Frohnauer SC,SSC Südwest 1947,NA,NA,home
16,Berliner SC,TSV Rudow Berlin,NA,NA,home
16,TSV Mariendorf 1897,Polar Pinguin Berlin,NA,NA,home
16,SFC Stern 1900,Füchse Berlin,NA,NA,away
16,SV BW Hohen Neuendorf,VSG Altglienicke II,NA,NA,away
16,Berlin Türkspor,Sp.Vg. Blau Weiß 1890 Berlin,NA,NA,away
16,FSV Spandauer Kickers,SV Empor Berlin,NA,NA,away
16,SC Staaken 1919,VfB Fortuna Biesdorf,NA,NA,away
16,1. FC Wilmersdorf,SC Charlottenburg,NA,NA,away
16,SSC Südwest 1947,Frohnauer SC,NA,NA,away
16,TSV Rudow Berlin,Berliner SC,NA,NA,away
16,Polar Pinguin Berlin,TSV Mariendorf 1897,NA,NA,away
17,1. FC Wilmersdorf,SSC Südwest 1947,NA,NA,home
17,TSV Rudow Berlin,Berlin Türkspor,NA,NA,home
17,Füchse Berlin,Sp.Vg. Blau Weiß 1890 Berlin,NA,NA,home
17,SC Charlottenburg,VfB Fortuna Biesdorf,NA,NA,home
17,SFC Stern 1900,VSG Altglienicke II,NA,NA,home
17,SV Empor Berlin,Berliner SC,NA,NA,home
17,FSV Spandauer Kickers,SC Staaken 1919,NA,NA,home
17,Polar Pinguin Berlin,SV BW Hohen Neuendorf,NA,NA,home
17,TSV Mariendorf 1897,Frohnauer SC,NA,NA,home
17,SSC Südwest 1947,1. FC Wilmersdorf,NA,NA,away
17,Berlin Türkspor,TSV Rudow Berlin,NA,NA,away
17,Sp.Vg. Blau Weiß 1890 Berlin,Füchse Berlin,NA,NA,away
17,VfB Fortuna Biesdorf,SC Charlottenburg,NA,NA,away
17,VSG Altglienicke II,SFC Stern 1900,NA,NA,away
17,Berliner SC,SV Empor Berlin,NA,NA,away
17,SC Staaken 1919,FSV Spandauer Kickers,NA,NA,away
17,SV BW Hohen Neuendorf,Polar Pinguin Berlin,NA,NA,away
17,Frohnauer SC,TSV Mariendorf 1897,NA,NA,away
18,Polar Pinguin Berlin,Sp.Vg. Blau Weiß 1890 Berlin,NA,NA,home
18,TSV Rudow Berlin,VSG Altglienicke II,NA,NA,home
18,FSV Spandauer Kickers,VfB Fortuna Biesdorf,NA,NA,home
18,Füchse Berlin,SV Empor Berlin,NA,NA,home
18,SFC Stern 1900,Frohnauer SC,NA,NA,home
18,SC Charlottenburg,Berliner SC,NA,NA,home
18,SSC Südwest 1947,SV BW Hohen Neuendorf,NA,NA,home
18,Berlin Türkspor,SC Staaken 1919,NA,NA,home
18,1. FC Wilmersdorf,TSV Mariendorf 1897,NA,NA,home
18,Sp.Vg. Blau Weiß 1890 Berlin,Polar Pinguin Berlin,NA,NA,away
18,VSG Altglienicke II,TSV Rudow Berlin,NA,NA,away
