Spieltag,Heim,Auswärts,H_tore,A_tore,HeimFormation,HeimStartelf,HeimSubs,ToreRaw,where,size,AuswaertsFormation,AuswaertsStartelf,AuswaertsSubs
3,SSC Südwest 1947,VSG Altglienicke II,1,0,4-2-3-1,"Stroehlke, J. Greiner, Schramm, Sejdic, Schick, Olsowski, Schulze, Cernescu, Schoeneich, Karadayi, Kascha","Gündogdu, Glaser, L. Greiner, Weiß",1:0 (5.) Cernescu,home,M,4-4-2,"Kassem, El Sadani, Klamkowski, Latzel, Busch, Schenkel, Senst, El Taib, Bakal, Tomczak, Fayoumi","Lieberam, Losse, Kutrieb, Atici"
3,1. FC Wilmersdorf,SC Staaken,0,0,3-1-4-2,"Samake, Aydin, Henneke, Ghandour, Langhammer, Russo, Voigt, Inal, Techie-Menson, Cinar, Benyamina","El-Meguid, Loch, Kaya, Akyo",,home,M,4-2-3-1,"Oberbach, Förster, Lampert, Aksakal, Younes, Tutzschke, El Dayekh, Touko, Abdel-Hamid, Walter, Gakpeto","Heumer, Diezemann, Ufak, Stein, Jantzen"
3,TSV Rudow Berlin,VfB Fortuna Biesdorf,1,2,4-4-2,"Sangel, Künne, B. Kadur, Walizada, Maroske, Barrufet, Petschner, Haj Youssef, Dang, Schramm, Steinke","Treibert, Mansour, Friebe, Nanevie, Sowa",1:2 (90.+17) Steinke,home,L,3-4-2-1,"Gromotka, Burda, Bähr, Bayram, Razeek, Hassane, Günther, Haj Youssef, Hortum, A. Iraqui, Baba","+7 H. Iraqui, +15 Murseli, Thonfeld, Kirschner"
3,Berlin Türkspor,SV BW Hohen Neuendorf,2,4,4-2-3-1,"Bätge, Vassiliadis, Turan, Kahraman, Williams, Zardoshtian, Rmieh, Mukuku Zola, Bacak, Korntreff, Kapan","Satici, Krien",1:3 (65.) Kapan; 2:4 (90.+4) Turan,home,M,5-4-1,"Kopmann, Rüdiger, Stoltz, Diels, Domke, Schock-Negrete, Wolf, Lendner, Lange, Röttgen, Soine","Bacanu, Vogt, Dündar, Butt, Przesang"
3,Füchse Berlin,TSV Mariendorf 1897,0,2,4-2-3-1,"Lox, Cygankov, Klecha, Tüysüz, M. Cygankov, Zoungrana, Aslan, Ouédraogo, Sivaci, Haney, Sunday","Brechler, Heerdt, Yildirim, Bourakkadi",,home,M,4-4-2,"Chaw, Austermann, Veilert, Wedemann, Urgelles Montoya, Ulusoy, Pfannschmidt, Kasola, Kromat, Senocak, van Dunem","Veilert, Tutic, Cordeiro, Bühler, Fürst"
3,SFC Stern 1900,Berliner SC,0,0,4-2-3-1,"Dickersbach, Krost, Wobeser, SchönfußHahm, Udeoka, Hajjaj, Rohr, Keita, Gantzberg, Medrane, Fäßler","Drost, Thurau, Rohana, Hartmann, Jouini",,home,M,4-1-4-1,"Köster, Bossard, Öztürk, Markovic, Trojahn, Nnaemeka-Chukwurah, Schumann, Neumann, Cheung, Ngah, Lorenz","Ugbogbo, Spiegel, Ekandille"
3,FSV Spandauer Kickers,Sp.Vg. Blau Weiß 1890 Berlin,2,1,3-2-3-2,"Dardeike, J. Krumnow, Iseni, Klepczynski, Senninger, Vefonge Wana, Oldor, Kuckei, Dzhaukhar, Tastan, Uzan","Odoubiyi Cocou, Gezer, Sawallich, Agyei-Yeboah",1:0 (47.) Dzhaukhar; 2:0 (72.) Tastan,home,M,4-2-3-1,"Hinz, Rocktäschel, Banze, Zingu, Salla, Schulze, Rausch, Toure, Lopes de Oliveira, Geurts, Brömer","Wiebach, Köhne, Schrade, Igkmpinompa, Grabow"
3,SC Charlottenburg,SV Empor Berlin,2,1,4-3-3,"Seidel, Lehmann, Brinkmann, Reichel, Droszczak, Michels, Ulucay, Kücük, Engelsing, Maykowski, Löbe","Traore, Schäfer, Onyemaobi, Mestetef",1:1 (33.) Maykowski; 2:1 (65.) Onyemaobii,home,L,4-1-3-1-1,"Von Hallen, Wenger, Khettal, Falk, Möller, Kühn, Boateng, Meirelles-Hartmann, Schulz, Zander, Albrecht","Neumeier, Nickel, Appiah, Albrecht, Alankus"
3,Polar Pinguin Berlin,Frohnauer SC,1,2,5-2-2-1,"Erbilgin, Broll, Kahra, Hardt, Ouattara, Matt, Schwabe, Koch, Will, Sondermann, Ndubueze","Kaplan, Löhmann, Schanda, Faizi, Derman",1:1 (35.) Ndubueze,home,S,4-1-2-2-1,"Paul, Ehritt, Hollnagel, Hampel, Mundt, Seiffert, Musiol, Barnes, Bachar, Kyere, Eickhoff","Hofmann, Lindhammer, Walter, Arend, Wollesen"
3,VSG Altglienicke II,SSC Südwest 1947,0,1,4-4-2,"Kassem, El Sadani, Klamkowski, Latzel, Busch, Schenkel, Senst, El Taib, Bakal, Tomczak, Fayoumi","Lieberam, Losse, Kutrieb, Atici",,away,M,4-2-3-1,"Stroehlke, J. Greiner, Schramm, Sejdic, Schick, Olsowski, Schulze, Cernescu, Schoeneich, Karadayi, Kascha","Gündogdu, Glaser, L. Greiner, Weiß"
