Rank,Team,Name,Nr,Pos,Spiele,Tore
329,Frohnauer SC,Oscar Adams Llorente,0,NA,2,0
330,Frohnauer SC,Benjamin Ritschl,0,NA,0,0
331,Frohnauer SC,Bachar Said,21,NA,4,0
332,Frohnauer SC,Nico Horvat,0,NA,0,0
333,Frohnauer SC,Charlie Werner,0,NA,0,0
334,Frohnauer SC,Dominik Kuppler,0,NA,0,0
335,Frohnauer SC,Tobias Hampel,17,IV,5,0
336,Frohnauer SC,Mike Ryberg,0,LM,2,0
337,Frohnauer SC,Simon Wollesen,0,NA,2,0
338,Frohnauer SC,Sebastian Paul,1,TW,5,0
339,Frohnauer SC,Dominik Lindhammer,6,NA,4,0
340,Frohnauer SC,Nando Hofmann,8,IV,3,0
341,Frohnauer SC,Erik Hollnagel,27,IV,5,0
342,Frohnauer SC,Adrian Domke,4,IV,4,0
343,Frohnauer SC,Andre Stache,0,NA,0,0
344,SC Charlottenburg,Marvin Michels,7,ZDM,5,0
345,SC Charlottenburg,Leo Heye,0,NA,0,0
346,SC Charlottenburg,Justin Seidel,30,TW,4,0
347,SC Charlottenburg,Adrian Droszczak,15,IV,4,0
348,SC Charlottenburg,Omar Saif,14,LM,3,0
349,SC Charlottenburg,Eliot Tolaj,0,NA,0,0
350,SC Charlottenburg,Nana Kwame Badu-Amoah,0,NA,0,0
351,SC Charlottenburg,Lasse Engelsing,16,ZOM,5,0
352,SC Charlottenburg,Nizar Mestetef,28,NA,4,0
353,SC Charlottenburg,Timo Henning Jasper,0,NA,1,0
354,SC Charlottenburg,Jonathan Schäfer,0,IV,3,0
355,SC Charlottenburg,Lukas Neitzel,92,NA,0,0
356,SC Charlottenburg,Abdoul Moumouni Kader Traore,29,NA,4,0
357,SC Charlottenburg,Aron Mugerwa,0,NA,1,0
358,SC Charlottenburg,Micah Tim Helge,13,LV,4,0
359,SC Charlottenburg,Noah Schmitt,0,NA,0,0
360,SC Charlottenburg,Marc Reichel,25,IV,4,0
361,SC Charlottenburg,Timo Brinkmann,20,IV,3,0
362,SC Charlottenburg,Necmi Ulucay,10,ZOM,5,0
363,SC Charlottenburg,Tugay Göcer,0,NA,2,0
364,SC Charlottenburg,Ahmad Al-Khalaf,0,NA,0,0
365,SC Charlottenburg,Fatih Kücük,0,ZM,2,0
366,SC Charlottenburg,Ahmad Selman,8,ST,2,0
367,SC Charlottenburg,Ben Lehmann,3,RV,5,0
368,SV Empor Berlin,Simon von Hallen,1,NA,5,0
369,SV Empor Berlin,Falk Marquard,0,NA,1,0
370,SV Empor Berlin,Valentin Samuel Kurz,0,NA,1,0
371,SV Empor Berlin,Benedikt Mehl,0,NA,1,0
372,SV Empor Berlin,Stanley Schulz,23,ZOM,4,0
373,SV Empor Berlin,Lucas Samuel Mc Isaac Ibanez,0,NA,0,0
374,SV Empor Berlin,Louis Franz Wesner,NA,NA,2,0
375,SV Empor Berlin,Vincent Lange,35,ZM,0,0
376,SV Empor Berlin,Arthur Pschyrembel,0,NA,0,0
377,SV Empor Berlin,Leopold Neumeier,27,IV,5,0
378,SV Empor Berlin,Jason Kofi Appiah,7,RM,4,0
379,SV Empor Berlin,Maurice Peitz,0,NA,0,0
380,SV Empor Berlin,Mathias Felix Wenger,25,RV,3,0
381,SV Empor Berlin,Daniel Alankus,0,RV,4,0
382,SV Empor Berlin,Michele La Pietra,0,NA,0,0
383,SV Empor Berlin,David Garnczarek,0,NA,1,0
384,SV Empor Berlin,Roman Hübner,13,NA,1,0
385,SV Empor Berlin,Dennis Wegner,6,ZDM,2,0
386,SV Empor Berlin,Trung Hieu Ngo,0,NA,0,0
387,SV Empor Berlin,Marian Ruhberg,0,NA,0,0
388,SV Empor Berlin,Can Sakar,36,NA,3,0
389,SV Empor Berlin,Tom Stutzke,0,NA,1,0
390,SV Empor Berlin,Tarik Khettal,33,IV,3,0
391,SV Empor Berlin,Hendrik Kühn,15,IV,3,0
392,SV Empor Berlin,Leonardo Meirelles-Hartmann,14,LV,5,0
393,SV Empor Berlin,Lukas Boateng,0,ZOM,2,0
394,SV Empor Berlin,Nikolai Wolany,0,NA,0,0
395,SV Empor Berlin,Arnaud Salla,0,LV,1,0
396,SV Empor Berlin,Tim Falk,3,IV,2,0
397,SV Empor Berlin,Simon Albrecht,0,ST,1,0
398,SV Empor Berlin,Joris Möller,11,LM,5,0
399,FSV Spandauer Kickers,Florent Iseni,5,IV,5,0
400,FSV Spandauer Kickers,Kilian Dewald,NA,NA,2,0
401,FSV Spandauer Kickers,Jack Krumnow,30,NA,4,0
402,FSV Spandauer Kickers,Max Steinfels,0,NA,0,0
403,FSV Spandauer Kickers,Malick Fall,NA,NA,0,0
404,FSV Spandauer Kickers,Luke Möllers,15,NA,0,0
405,FSV Spandauer Kickers,Felix Erkelenz,0,NA,0,0
406,FSV Spandauer Kickers,Matti-Arne Waltersdorf,0,NA,0,0
407,FSV Spandauer Kickers,Jakub Ado Klepczynski,20,IV,5,0
408,FSV Spandauer Kickers,Vincent Kuckei,10,ZOM,5,0
409,FSV Spandauer Kickers,Tiziano Szuwarski,13,LM,3,0
410,FSV Spandauer Kickers,Isaac Vefonge Wana,21,IV,5,0
411,FSV Spandauer Kickers,Abbas Jizzini,0,NA,0,0
412,FSV Spandauer Kickers,Serhii Zhemchuzhnyi,0,NA,0,0
413,FSV Spandauer Kickers,Elias Wesner,4,NA,0,0
414,FSV Spandauer Kickers,Arda Sahin,12,NA,1,0
