Rank,Team,Nr,Name,Pos,Spielzeit,matches_played_ratio,playtime_ratio,points_per_game,scorerpoints_ratio,best_player_ratio,Score
254,Frohnauer SC,0,Simon Wollesen,NA,27,0.3333333333333333,0.3,1,0,0,0.42
255,SV Empor Berlin,15,Hendrik Kühn,IV,149,0.6666666666666666,0.828,0,0,0,0.42
256,1. FC Wilmersdorf,12,Yousef El-Meguid,NA,103,0.6666666666666666,0.572,0.333,0,0,0.42
257,SV BW Hohen Neuendorf,4,Yeri Said Schock Negrete,NA,134,1,0.496,0,0.111,0,0.42
258,SC Charlottenburg,4,Kingsley Chigozie Onyemaobi,NA,51,0.6666666666666666,0.283,0.5,0.25,0,0.41
259,SV Empor Berlin,20,Paul Nickel,ZDM,115,1,0.426,0.111,0,0,0.41
260,SC Staaken,7,Finn Walter,LM,118,0.6666666666666666,0.656,0.167,0,0,0.41
261,VSG Altglienicke II,22,Lelio Losse,NA,64,0.6666666666666666,0.356,0.5,0,0,0.4
262,TSV Rudow Berlin,14,Dominik Thonfeld,NA,138,1,0.511,0,0,0,0.4
263,SC Staaken,NA,Philippe Daniel Tchienguin Touko,RM,69,0.3333333333333333,0.767,0.333,0,0,0.4
264,VfB Fortuna Biesdorf,6,Benjamin Kadur,NA,135,0.6666666666666666,0.75,0,0,0,0.39
265,SSC Südwest 1947,7,Melvin Glaser,NA,53,1,0.196,0.333,0,0,0.39
266,SFC Stern 1900,5,Tim Schönfuß-Hahm,IV,124,1,0.459,0,0,0,0.39
267,SC Staaken,22,Karim Abdel Hamid,NA,134,0.6666666666666666,0.744,0,0,0,0.39
268,TSV Rudow Berlin,0,Elias Burda,NA,90,0.3333333333333333,1,0,0,0,0.38
269,SV Empor Berlin,6,Dennis Wegner,ZDM,90,0.3333333333333333,1,0,0,0,0.38
270,FSV Spandauer Kickers,19,Tchanawe Tunde Kris-Walick Odoubiyi Cocou,NA,40,1,0.148,0.333,0,0,0.38
271,Füchse Berlin,20,Nils Lox,TW,90,0.3333333333333333,1,0,0,0,0.38
272,Füchse Berlin,16,Bekir Gündogdu,ZDM,15,0.3333333333333333,0.167,1,0,0,0.38
273,Füchse Berlin,11,Raven Rabiega,NA,13,0.3333333333333333,0.144,1,0,0,0.38
274,SC Staaken,16,Fabio Hackbarth,IV,90,0.3333333333333333,1,0,0,0,0.38
275,erlin Türkspor,3,Mame Cheikh Diop,NA,11,0.3333333333333333,0.122,1,0,0,0.37
276,Füchse Berlin,31,Thomas Brechler,NA,45,0.6666666666666666,0.25,0.5,0,0,0.37
277,VSG Altglienicke II,13,Devin Lieberam,NA,42,0.6666666666666666,0.233,0.5,0,0,0.36
278,Polar Pinguin Berlin,13,Sören Zeidler,NA,90,0.6666666666666666,0.5,0.167,0,0,0.36
279,VfB Fortuna Biesdorf,11,Toni Kaftan,NA,90,0.6666666666666666,0.5,0.167,0,0,0.36
280,SC Staaken,23,Mohammed Younes,LV,90,0.6666666666666666,0.5,0.167,0,0,0.36
281,SC Staaken,11,Benjamin Stein,NA,74,0.6666666666666666,0.411,0.167,0,0.5,0.36
282,TSV Rudow Berlin,8,Hasan Iraqui,NA,94,1,0.348,0,0,0,0.35
283,erlin Türkspor,99,King David Yeboah Frimpong Szigath,NA,5,0.3333333333333333,0.056,1,0,0,0.35
284,erlin Türkspor,5,Prince Collins Idemudia,NA,5,0.3333333333333333,0.056,1,0,0,0.35
285,SC Charlottenburg,0,Jonathan Schäfer,NA,1,0.3333333333333333,0.011,1,0,0,0.34
286,SC Charlottenburg,8,Ahmad Selman,ST,88,0.6666666666666666,0.489,0,0,0.5,0.34
287,Polar Pinguin Berlin,25,Pascal Löhmann,ZM,99,0.6666666666666666,0.55,0,0,0,0.33
288,Polar Pinguin Berlin,10,Said Abasi,LV,74,0.3333333333333333,0.822,0,0,0,0.33
289,VSG Altglienicke II,16,Serhan Atici,NA,17,0.6666666666666666,0.094,0.5,0,0,0.32
290,VSG Altglienicke II,34,Alexander Kutrieb,NA,19,0.6666666666666666,0.106,0.5,0,0,0.32
291,SSC Südwest 1947,21,Lenard Greiner,NA,60,1,0.222,0,0,0,0.32
292,SV Empor Berlin,21,David Schäfer,NA,50,0.6666666666666666,0.278,0.167,0.167,0,0.32
293,SFC Stern 1900,22,Colin Drost,NA,45,0.3333333333333333,0.5,0.333,0,0,0.32
294,TSV Rudow Berlin,20,Luca Ehrich,IV,67,0.3333333333333333,0.744,0,0,0,0.31
295,VfB Fortuna Biesdorf,0,Leonard Sowa,NA,35,0.6666666666666666,0.194,0.333,0,0,0.31
296,TSV Mariendorf 1897,17,Yusuf Yorguner,ST,59,0.6666666666666666,0.328,0.167,0,0,0.31
297,SV Empor Berlin,36,Can Sakar,NA,59,0.6666666666666666,0.328,0.167,0,0,0.31
