ID,Name,Team,Spiele,Tore,Assists,Gelbe.Karten,Gelb.Rote.Karten,Rote.Karten,Einwechslung,Auswechslung,Spielzeit,X11.des.Tages,Nummer,playtime_ratio,avg_playtime_per_game,scorerpoints_per_game,best_player_appearances,best_player_ratio,total_points,matches_played,match_diff,points_per_game,normalized_points_per_game,weighted_score,most_position,second_position,position_percentage,second_position_percentage
849622,Dominique Leitner,Berliner SC II,26,3,1,1,0,0,0,0,2340,0,5,0.867,1,0.154,8,0.308,32,26,0,1.231,0.41,0.753,IV,NA,96%,0%
850594,Dennis Fischer,Berliner SV 1892,5,0,0,0,0,0,5,0,101,0,2,0.037,0.224,0,2,0.4,25,16,-11,1.562,0.521,0.537,LV,IV,200%,100%
850594,Dennis Fischer,Türkiyemspor Berlin,8,0,0,0,0,0,1,4,557,0,2,0.206,0.774,0,2,0.25,25,16,-8,1.562,0.521,0.635,LV,IV,125%,62%
854386,Tom Wessel,SV Empor Berlin II,5,0,0,0,0,0,2,2,237,0,24,0.088,0.527,0,0,0,1,2,3,0.5,0.167,0.24,IV,LM,20%,20%
860630,Kamil Ryszard Borowski,SV Stern Britz 1889,4,0,0,0,0,0,0,2,302,0,NA,0.112,0.839,0,0,0,0,4,0,0,0,0.19,IV,NA,100%,0%
870868,Linus Fürstenow,TSV Rudow Berlin,27,1,0,0,0,0,0,0,2430,0,4,0.9,1,0.037,8,0.296,60,26,1,2.308,0.769,1.007,IV,NA,89%,0%
871111,Philipp Nikolajewski,FSV Berolina Stralau 1901,15,0,0,0,0,0,5,0,1020,0,14,0.378,0.756,0,0,0,2,10,5,0.2,0.067,0.274,IV,RV,60%,7%
871200,Umran Saied,Berliner SC II,1,0,0,0,0,0,0,1,59,0,NA,0.022,0.656,0,0,0,0,1,0,0,0,0.136,LM,NA,100%,0%
872446,Oguz Rencber,Berliner SC II,2,0,0,0,0,0,1,1,70,0,NA,0.026,0.389,0,1,0.5,1,1,1,1,0.333,0.466,LM,NA,50%,0%
872943,Emilio Son,FSV Berolina Stralau 1901,4,0,0,0,0,0,4,0,104,0,7,0.039,0.289,0,0,0,0,0,4,0,0,0.066,NA,NA,NA%,0%
