Rank,Team,Name,Nr,Pos,Spiele,Tore
197,Türkiyemspor Berlin,Görkem Yilmaz,4,ZOM,25,1
198,TSV Rudow Berlin,Linus Fürstenow,4,IV,27,1
199,SV Empor Berlin II,Elias Thürigen,5,IV,15,1
200,SV Empor Berlin II,Simon Albrecht,NA,ZM,2,1
201,BSV Eintracht Mahlsdorf II,Marc Michas,10,ST,20,1
202,BSV Eintracht Mahlsdorf II,Niklas Isberner,4,IV,23,1
203,SV Empor Berlin II,Joris Möller,NA,LM,1,1
204,SV Stern Britz 1889,Ali Mert Koca,15,ZOM,11,1
205,BSV Eintracht Mahlsdorf II,Devis Meißner,NA,TW,2,1
206,FC Internationale Berlin 1980,Akiyasu Tsuchiya,6,ZM,7,1
207,VfB Concordia Britz 1916,Darnell Bruns,11,ST,8,1
208,SV Stern Britz 1889,Luca Wojan,22,ZDM,17,1
209,Köpenicker FC,Tarek Borchmeier,13,ZM,21,1
210,Berliner SV 1892,Niklas Jost,4,IV,24,1
211,Berliner SV 1892,Mario Mikic,14,RV,4,1
212,FC Viktoria 1889 Berlin II,Oskar Schlembach,21,ZDM,12,1
213,Berliner SC II,Eric Herbst,NA,NA,1,1
214,Berliner SV 1892,Jonathan Maurer,NA,ZM,13,1
215,Berliner SV 1892,Joshua Tröger,24,RV,17,1
216,TSV Rudow Berlin,Samet Sennur,11,ST,12,1
217,Berliner SC II,Jakob Oevermann,15,IV,4,1
218,BFC Meteor 06,Fredy Balde,8,LM,8,1
219,BFC Preussen II,Alexander Gajda,14,RV,13,1
220,BFC Preussen II,Nils Szerwinski,21,ST,12,1
221,Berliner SC II,Stefan Glaser,9,ST,18,1
222,BFC Preussen II,Omar Hajjaj,NA,ZDM,2,1
223,Türkiyemspor Berlin,Ömer Tanis,8,ZDM,24,1
224,SV Empor Berlin II,Paul Nickel,NA,ZDM,3,1
225,FSV Berolina Stralau 1901,Alfredo-Manuel Villanueva Bravo,10,LM,3,1
226,FC Viktoria 1889 Berlin II,Jeremy Herrmann,26,ZDM,21,1
227,BFC Meteor 06,Lennart Nerlich,5,IV,26,1
228,FC Viktoria 1889 Berlin II,Jeong Chaehyun,11,RM,16,1
229,VfB Concordia Britz 1916,Amir-Mohamad Yassine,26,LM,11,1
230,BSV Eintracht Mahlsdorf II,Björn Heydemann,NA,ST,2,1
231,Köpenicker FC,Tom-Niclas Hamann,23,IV,19,1
232,Berliner SC II,Ben Fidanboy,28,RV,6,1
233,FC Viktoria 1889 Berlin II,Lucien Littbarski,NA,ZOM,1,1
234,FSV Berolina Stralau 1901,Noah Maiß,21,ZM,7,1
235,BFC Preussen II,Serhan Arslani,NA,NA,4,1
236,SV Empor Berlin II,Niclas Nixdorf,3,IV,18,1
237,SV Empor Berlin II,Jannick Wollmann,NA,IV,7,1
238,BSV Eintracht Mahlsdorf II,Tom Bothe,12,IV,15,1
239,FC Viktoria 1889 Berlin II,Konstantin- Alexander Westhäußer,13,RV,24,1
240,BSV Al-Dersimspor,William Essel,9,LM,15,1
241,FC Viktoria 1889 Berlin II,Ismail Bendjelloul,5,ZDM,19,1
242,Türkiyemspor Berlin,Deniz Karakus,32,IV,4,1
243,TSV Rudow Berlin,Yannick Emanuel Wöhle,16,ST,19,1
244,BFC Preussen II,Ali Hammoud,NA,RV,11,1
245,SC Borsigwalde 1910,Mohammed Yaqoobi,3,LV,22,1
246,SV Empor Berlin II,Emile Ako,NA,RM,9,1
247,FC Internationale Berlin 1980,Tiago de Sousa Oliveira,NA,NA,6,1
248,SC Borsigwalde 1910,Hebun Aslan,NA,RV,3,1
249,BSV Eintracht Mahlsdorf II,Mohammad Mansour,5,IV,13,1
250,Türkiyemspor Berlin,Mustafa Kemal Karaman,11,LV,19,1
251,FC Internationale Berlin 1980,Saif Merabti,NA,RM,7,1
252,FC Viktoria 1889 Berlin II,Fonseca Pereira Mendes,25,RV,23,1
253,FC Viktoria 1889 Berlin II,Nana Nkrumah,12,ST,14,1
254,FC Viktoria 1889 Berlin II,Ognyan Stefanov,16,NA,8,1
255,FC Internationale Berlin 1980,Maximilian Louis Alexis Caspar de Rosnay,NA,NA,8,1
256,Berliner SC II,Ezher Akbulut,23,LM,24,1
257,BSV Eintracht Mahlsdorf II,Kilian Oliver Reinke,21,LV,24,1
258,FC Viktoria 1889 Berlin II,Daniel Hölbling,15,ST,4,1
259,Berliner SV 1892,Lewi Dawit Molalegn,15,ST,13,1
260,BFC Meteor 06,Ibrahim Celik,47,RM,23,1
261,FC Internationale Berlin 1980,Jamie Dell Bullock,3,LV,18,1
262,FC Internationale Berlin 1980,Joel Broughton Weeks,NA,NA,1,1
263,FC Internationale Berlin 1980,Marlon Mayen Guzman,16,LM,14,1
264,Türkiyemspor Berlin,Manuel Pereira,NA,NA,1,1
265,TSV Rudow Berlin,Aron Murseli,NA,LM,7,1
