ID,Name,Team,Spiele,Tore,Assists,Gelbe.Karten,Gelb.Rote.Karten,Rote.Karten,Einwechslung,Auswechslung,Spielzeit,X11.des.Tages,Nummer,playtime_ratio,scorerpoints_ratio,best_player_appearances,best_player_ratio,total_points,matches_played,match_diff,points_per_game,weighted_score,most_position,second_position,position_percentage,second_position_percentage
591221,Mustafa Bicen,BSV Hürtürkel,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
591706,Halil Özöz,1. FC Schöneberg 1913,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
592238,Izzet Ciftci,1. FC Schöneberg 1913,1,0,0,0,0,0,1,0,10,0,NA,0.004,NA,0,0,0,0,1,0,NA,NA,NA,0%,0%
603868,Ismail Ülke,BSV Hürtürkel,1,0,0,0,0,0,1,0,15,0,NA,0.006,NA,0,0,0,0,1,0,NA,NA,NA,0%,0%
610525,Antonio Boeddinghaus,FC Internationale Berlin 1980,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
611865,Nikita Charkov,Berliner SV 1892,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
627402,Jakob Heilmann,Berliner SC II,1,0,0,0,0,0,0,0,90,0,NA,0.033,NA,0,0,3,1,0,3,NA,LV,NA,100%,0%
631677,Onur Eren,Berlin Hilalspor,1,0,0,0,0,0,1,0,36,0,NA,0.013,NA,0,0,0,0,1,0,NA,NA,NA,0%,0%
636473,Salih Uzun,1. FC Schöneberg 1913,1,1,2,0,0,0,0,1,76,0,NA,0.028,NA,0,0,0,0,1,0,NA,NA,NA,0%,0%
646203,Andreas Gefnider,SV BW Berolina Mitte 49,1,0,0,0,0,0,0,0,90,0,NA,0.033,NA,0,0,0,1,0,0,NA,LV,NA,100%,0%
654219,Maurice Meyer,SV Empor Berlin II,1,0,0,0,0,0,0,0,90,0,NA,0.033,NA,0,0,0,1,0,0,NA,NA,NA,0%,0%
656536,Maximilian Blust,Berliner SV 1892,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
665370,Luthando Saul,DJK Schwarz-Weiß Neukölln,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
665393,Volkan Neziroglu,Berlin Hilalspor,1,0,0,0,0,0,0,0,90,0,NA,0.033,NA,0,0,0,1,0,0,NA,ST,NA,100%,0%
665771,Nicht öffentlich,Berliner SV 1892,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
666752,Vittorio Achour,DJK Schwarz-Weiß Neukölln,1,0,1,0,0,0,0,1,72,0,NA,0.027,NA,1,1,3,1,0,3,NA,LM,NA,100%,0%
681368,Tjerk Ortmann,SV Empor Berlin II,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
682329,Julius Zauner,Berliner SV 1892,1,0,0,0,0,0,0,1,76,0,NA,0.028,NA,0,0,0,1,0,0,NA,RM,NA,100%,0%
689226,Henning Stötefalke,SV BW Berolina Mitte 49,1,0,0,0,0,0,0,0,90,0,NA,0.033,NA,0,0,0,0,1,0,NA,NA,NA,0%,0%
701650,Julius Meier,SV BW Berolina Mitte 49,1,0,0,0,0,0,0,1,80,0,NA,0.03,NA,0,0,0,1,0,0,NA,TW,NA,100%,0%
720266,Dennis Seiler,SV Empor Berlin II,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
725320,Hendrik Bode,Sportfreunde Johannisthal,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
735955,Amir Nekere,DJK Schwarz-Weiß Neukölln,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
737592,Mohamad-Ali Chawraba,Berlin Hilalspor,1,1,0,0,0,0,0,0,90,0,NA,0.033,NA,0,0,0,1,0,0,NA,RM,NA,100%,0%
