Rank,Team,Name,Nr,Pos,Spiele,Scorerpoints
311,FC Viktoria 1889 Berlin II,Marvin Knape,20,RV,7,0
312,Köpenicker FC,Luca Carius,6,IV,22,0
313,BFC Preussen II,Meiko Hesse,6,ZDM,18,0
314,Köpenicker FC,Tom Rostock,NA,RM,9,0
315,FC Viktoria 1889 Berlin II,Lukas-Noah Littler,2,IV,15,0
316,Berliner SC II,Bryan Lilja,18,LM,10,0
317,Türkiyemspor Berlin,Kenan Özen,6,ZDM,18,0
318,FSV Berolina Stralau 1901,Milan Stricker,NA,ST,11,0
319,Köpenicker FC,Anton Neumann,14,ZM,12,0
320,BSV Al-Dersimspor,Zana-Kazim Baba,NA,ST,8,0
321,TSV Rudow Berlin,Jonas Becker,3,IV,24,0
322,Türkiyemspor Berlin,Tamer Emre Ertürkler,17,ST,8,0
323,Berliner SC II,Jesse Kreuschner,31,TW,9,0
324,Berliner SV 1892,Chidera Iwuozor,6,LM,10,0
325,FSV Berolina Stralau 1901,David Bode,18,RV,15,0
326,FSV Berolina Stralau 1901,Arian Saiti,17,RV,19,0
327,BFC Meteor 06,Rick Mickael Ella,70,LM,8,0
328,TSV Rudow Berlin,Eliot Tolaj,15,IV,16,0
329,FC Internationale Berlin 1980,Marcos Adrian Castro Barbera,12,NA,15,0
330,BFC Meteor 06,Leo Suilmann,1,TW,8,0
331,FC Internationale Berlin 1980,Jim Bratschke,77,RM,7,0
332,Berliner SC II,Paul Schlicht,1,TW,17,0
333,SV Stern Britz 1889,Benis Leci,30,IV,23,0
334,Türkiyemspor Berlin,Mustafa Kenan Yigitoglu,NA,IV,14,0
335,FSV Berolina Stralau 1901,Andreas Friese,23,TW,18,0
336,Türkiyemspor Berlin,Koray Aktas,21,TW,10,0
337,BSV Al-Dersimspor,Kaan Ucbaglar,44,LM,9,0
338,FC Internationale Berlin 1980,Kaan Ucbaglar,44,LM,7,0
339,Türkiyemspor Berlin,Görkem Tozlu,NA,IV,9,0
340,SC Borsigwalde 1910,Ahmad Chehade,NA,RV,9,0
341,FC Internationale Berlin 1980,Giovanni Marigo,2,RV,27,0
342,VfB Concordia Britz 1916,Merdan Köse,4,RV,20,0
343,SC Borsigwalde 1910,Philip Bartoschek,17,ZOM,11,0
344,SV Empor Berlin II,Aaron Yusuff,NA,TW,15,0
345,FSV Berolina Stralau 1901,Yussef Jradi,11,LM,22,0
346,FC Viktoria 1889 Berlin II,Patrick Kühn,1,TW,23,0
