Rank,Team,Name,Nr,Pos,Spiele,Tore
437,SC Borsigwalde,Sadjad Rassuli,NA,ZDM,3,0
438,SC Borsigwalde,Mohammad Kassem,NA,LV,1,0
439,SC Borsigwalde,Alexander Wegner,NA,NA,0,0
440,SC Borsigwalde,Dariusz Duhnke,NA,NA,1,0
441,SC Borsigwalde,Christian Mousa,NA,NA,1,0
442,SC Borsigwalde,Ammar Memidzan,NA,ZOM,1,0
443,SC Borsigwalde,Nikola Siljanoski,NA,TW,1,0
444,SC Borsigwalde,Kenneth Weise,NA,NA,0,0
445,SC Borsigwalde,Ömer Coskunaydin,NA,NA,1,0
446,SC Borsigwalde,Michel Stefaniszin,NA,NA,0,0
447,SC Borsigwalde,Kevin Kummer,NA,ZDM,3,0
448,SC Borsigwalde,Mohammed Mustafa Acar,NA,IV,3,0
449,SC Borsigwalde,Lucas Bittighofer,NA,NA,0,0
450,BFC Preussen II,Tim Fisch,NA,TW,1,0
451,BFC Preussen II,Kiminu Mayoungou,16,IV,2,0
452,BFC Preussen II,Jerome Kortebusch,NA,RV,2,0
453,BFC Preussen II,Ahmad El-Mustapha,NA,RM,1,0
454,BFC Preussen II,Serhan Arslani,27,NA,2,0
455,BFC Preussen II,Tim Henseler,NA,ZDM,1,0
456,BFC Preussen II,Adam Lamkaddam,NA,TW,2,0
457,BFC Preussen II,Maximilian Schatz,NA,NA,0,0
458,BFC Preussen II,Atacan Özcan,22,RM,3,0
459,BFC Preussen II,Reda Ouakil,NA,NA,1,0
460,BFC Preussen II,Christian Müller,NA,LM,0,0
461,BFC Preussen II,Romaric Moumeni Taffou,NA,NA,0,0
462,BFC Preussen II,Abdallah Ferchichi,19,LV,3,0
463,BFC Preussen II,Can Kelesoglu,33,RM,2,0
464,BFC Preussen II,Baran Aykut,14,NA,0,0
465,BFC Preussen II,Sebastian Rühland,NA,NA,1,0
466,BFC Preussen II,Vahit Engin,NA,NA,0,0
467,BFC Preussen II,Julian Loder,NA,NA,1,0
468,BFC Preussen II,Magnus Stahlberg,8,LM,3,0
469,BFC Preussen II,Paul Miggel,NA,NA,0,0
470,BFC Preussen II,Ugurcan Yilmaz,NA,ST,1,0
471,BFC Preussen II,Lukas Kohlmann,NA,NA,0,0
472,BFC Preussen II,Yasin Demir,30,ZDM,2,0
473,BFC Preussen II,Nicolas Michalke,NA,NA,0,0
474,BFC Preussen II,Marcel Berner,15,NA,1,0
475,BFC Preussen II,Julian von Gliszczynski,NA,NA,1,0
476,BFC Preussen II,Dan Feldmann,5,ST,2,0
477,DJK Schwarz-Weiß Neukölln,Lukas Elszel,NA,LV,2,0
478,DJK Schwarz-Weiß Neukölln,Alisan Erdogan,NA,ZOM,3,0
479,DJK Schwarz-Weiß Neukölln,Sascha Ginkel,NA,NA,0,0
480,DJK Schwarz-Weiß Neukölln,Niklas Kühne,NA,NA,0,0
481,DJK Schwarz-Weiß Neukölln,Justin Hecke,NA,NA,0,0
482,DJK Schwarz-Weiß Neukölln,Barkan Köprülügil,NA,LV,3,0
483,DJK Schwarz-Weiß Neukölln,Noah Faubourg,NA,NA,1,0
484,DJK Schwarz-Weiß Neukölln,Julian Baumeister,NA,NA,0,0
485,DJK Schwarz-Weiß Neukölln,Miran Aykus,NA,NA,0,0
486,DJK Schwarz-Weiß Neukölln,Julian Kirsch,NA,ZDM,2,0
487,DJK Schwarz-Weiß Neukölln,Shaker Shawrdi,NA,RM,2,0
488,DJK Schwarz-Weiß Neukölln,Henrik Kühne,NA,NA,0,0
489,DJK Schwarz-Weiß Neukölln,Bekar Hoeri,NA,NA,2,0
490,DJK Schwarz-Weiß Neukölln,Kamil Czuba,NA,NA,2,0
491,DJK Schwarz-Weiß Neukölln,Guillermo Ernesto Padilla Cross,NA,NA,2,0
492,DJK Schwarz-Weiß Neukölln,Maurice Duhme,NA,NA,1,0
493,DJK Schwarz-Weiß Neukölln,Benedict Richter,NA,NA,0,0
494,DJK Schwarz-Weiß Neukölln,Tobias Schmidt,NA,RM,2,0
495,DJK Schwarz-Weiß Neukölln,Patrick Boel,NA,TW,3,0
496,DJK Schwarz-Weiß Neukölln,Justin Jakob,NA,RV,3,0
497,DJK Schwarz-Weiß Neukölln,Robert Kruk,NA,NA,0,0
498,DJK Schwarz-Weiß Neukölln,Luthando Saul,NA,IV,1,0
499,DJK Schwarz-Weiß Neukölln,Vittorio Achour,NA,LM,2,0
500,DJK Schwarz-Weiß Neukölln,Amir Nekere,NA,NA,0,0
501,DJK Schwarz-Weiß Neukölln,Muhammed Mücahid Mert,NA,NA,0,0
502,DJK Schwarz-Weiß Neukölln,Josip Ramljak,NA,IV,2,0
503,DJK Schwarz-Weiß Neukölln,Nico Lindner,NA,IV,2,0
504,DJK Schwarz-Weiß Neukölln,Ali Mert Koca,NA,ZDM,1,0
505,DJK Schwarz-Weiß Neukölln,Mike Rupprecht,NA,ZOM,1,0
506,SF Charlottenburg-Wilmersdorf 03,Robin Gorr,NA,NA,1,0
507,SF Charlottenburg-Wilmersdorf 03,Erik Kosky,NA,RV,3,0
508,SF Charlottenburg-Wilmersdorf 03,Nicholas Jean-Louis,NA,LV,2,0
509,SF Charlottenburg-Wilmersdorf 03,Levi Köhler,NA,IV,1,0
510,SF Charlottenburg-Wilmersdorf 03,Srour Al Saadi,NA,NA,0,0
511,SF Charlottenburg-Wilmersdorf 03,Suleyman Osman,NA,NA,0,0
512,SF Charlottenburg-Wilmersdorf 03,Gabriel Dahm,NA,NA,0,0
513,SF Charlottenburg-Wilmersdorf 03,Marc Weinmann,NA,NA,0,0
514,SF Charlottenburg-Wilmersdorf 03,Florian Bellabarba,NA,NA,0,0
515,SF Charlottenburg-Wilmersdorf 03,Mohammad Sabra,NA,NA,3,0
516,SF Charlottenburg-Wilmersdorf 03,Tobias Schleyer,NA,NA,0,0
517,SF Charlottenburg-Wilmersdorf 03,Toni Schulz,NA,NA,0,0
518,SF Charlottenburg-Wilmersdorf 03,Koffi Ange Mickael Hermann Yao,NA,IV,3,0
519,SF Charlottenburg-Wilmersdorf 03,Hans Siegmund-Schultze,NA,NA,0,0
520,SF Charlottenburg-Wilmersdorf 03,Lasslo Jacobs,NA,IV,1,0
521,SF Charlottenburg-Wilmersdorf 03,Justus Häger,NA,NA,0,0
522,SF Charlottenburg-Wilmersdorf 03,Philipp Aufschlag,NA,ZM,2,0
523,SF Charlottenburg-Wilmersdorf 03,Bakary Diakite,NA,ST,3,0
524,SF Charlottenburg-Wilmersdorf 03,Hussein Sabah,NA,IV,1,0
525,SF Charlottenburg-Wilmersdorf 03,Niklas Höhne,NA,TW,2,0
526,SF Charlottenburg-Wilmersdorf 03,Lasse Kollof,NA,NA,1,0
527,SF Charlottenburg-Wilmersdorf 03,Oskar Dornheim,NA,ZM,3,0
528,SF Charlottenburg-Wilmersdorf 03,Nuno Tyrese Nuamah Dos Santos,NA,NA,2,0
529,SF Charlottenburg-Wilmersdorf 03,Dhia Mayel,NA,NA,1,0
530,SF Charlottenburg-Wilmersdorf 03,Levin Grabher,NA,NA,0,0
531,SF Charlottenburg-Wilmersdorf 03,Othmann Jamali Idrissi,NA,NA,1,0
532,SF Charlottenburg-Wilmersdorf 03,Salmane Adib,NA,NA,1,0
533,SF Charlottenburg-Wilmersdorf 03,Nazir Boukari Yabara,NA,NA,1,0
534,SF Charlottenburg-Wilmersdorf 03,Janek Wendt,NA,IV,2,0
535,SF Charlottenburg-Wilmersdorf 03,Raphael Liwschiz,NA,NA,1,0
536,SF Charlottenburg-Wilmersdorf 03,Lucas Dziadek,NA,IV,2,0
